year;age_group_m;age_group_w;duration;divorces
2000;Less than 20 years;Less than 20 years;0-4 years;0
2000;Less than 20 years;Less than 20 years;5-9 years;0
2000;Less than 20 years;Less than 20 years;10-14 years;0
2000;Less than 20 years;Less than 20 years;15-19 years;0
2000;Less than 20 years;Less than 20 years;20 years or more;0
2000;Less than 20 years;20-29 years;0-4 years;1
2000;Less than 20 years;20-29 years;5-9 years;0
2000;Less than 20 years;20-29 years;10-14 years;0
2000;Less than 20 years;20-29 years;15-19 years;0
2000;Less than 20 years;20-29 years;20 years or more;0
2000;Less than 20 years;30-39 years;0-4 years;0
2000;Less than 20 years;30-39 years;5-9 years;0
2000;Less than 20 years;30-39 years;10-14 years;0
2000;Less than 20 years;30-39 years;15-19 years;0
2000;Less than 20 years;30-39 years;20 years or more;0
2000;Less than 20 years;40-49 years;0-4 years;0
2000;Less than 20 years;40-49 years;5-9 years;0
2000;Less than 20 years;40-49 years;10-14 years;0
2000;Less than 20 years;40-49 years;15-19 years;0
2000;Less than 20 years;40-49 years;20 years or more;0
2000;Less than 20 years;50-59 years;0-4 years;0
2000;Less than 20 years;50-59 years;5-9 years;0
2000;Less than 20 years;50-59 years;10-14 years;0
2000;Less than 20 years;50-59 years;15-19 years;0
2000;Less than 20 years;50-59 years;20 years or more;0
2000;Less than 20 years;60-69 years;0-4 years;0
2000;Less than 20 years;60-69 years;5-9 years;0
2000;Less than 20 years;60-69 years;10-14 years;0
2000;Less than 20 years;60-69 years;15-19 years;0
2000;Less than 20 years;60-69 years;20 years or more;0
2000;Less than 20 years;70-79 years;0-4 years;0
2000;Less than 20 years;70-79 years;5-9 years;0
2000;Less than 20 years;70-79 years;10-14 years;0
2000;Less than 20 years;70-79 years;15-19 years;0
2000;Less than 20 years;70-79 years;20 years or more;0
2000;Less than 20 years;80-89 years;0-4 years;0
2000;Less than 20 years;80-89 years;5-9 years;0
2000;Less than 20 years;80-89 years;10-14 years;0
2000;Less than 20 years;80-89 years;15-19 years;0
2000;Less than 20 years;80-89 years;20 years or more;0
2000;Less than 20 years;90 years or more;0-4 years;0
2000;Less than 20 years;90 years or more;5-9 years;0
2000;Less than 20 years;90 years or more;10-14 years;0
2000;Less than 20 years;90 years or more;15-19 years;0
2000;Less than 20 years;90 years or more;20 years or more;0
2000;20-29 years;Less than 20 years;0-4 years;1
2000;20-29 years;Less than 20 years;5-9 years;0
2000;20-29 years;Less than 20 years;10-14 years;0
2000;20-29 years;Less than 20 years;15-19 years;0
2000;20-29 years;Less than 20 years;20 years or more;0
2000;20-29 years;20-29 years;0-4 years;396
2000;20-29 years;20-29 years;5-9 years;164
2000;20-29 years;20-29 years;10-14 years;3
2000;20-29 years;20-29 years;15-19 years;0
2000;20-29 years;20-29 years;20 years or more;0
2000;20-29 years;30-39 years;0-4 years;77
2000;20-29 years;30-39 years;5-9 years;104
2000;20-29 years;30-39 years;10-14 years;3
2000;20-29 years;30-39 years;15-19 years;0
2000;20-29 years;30-39 years;20 years or more;0
2000;20-29 years;40-49 years;0-4 years;11
2000;20-29 years;40-49 years;5-9 years;19
2000;20-29 years;40-49 years;10-14 years;0
2000;20-29 years;40-49 years;15-19 years;0
2000;20-29 years;40-49 years;20 years or more;0
2000;20-29 years;50-59 years;0-4 years;2
2000;20-29 years;50-59 years;5-9 years;6
2000;20-29 years;50-59 years;10-14 years;0
2000;20-29 years;50-59 years;15-19 years;0
2000;20-29 years;50-59 years;20 years or more;0
2000;20-29 years;60-69 years;0-4 years;0
2000;20-29 years;60-69 years;5-9 years;0
2000;20-29 years;60-69 years;10-14 years;0
2000;20-29 years;60-69 years;15-19 years;0
2000;20-29 years;60-69 years;20 years or more;0
2000;20-29 years;70-79 years;0-4 years;0
2000;20-29 years;70-79 years;5-9 years;0
2000;20-29 years;70-79 years;10-14 years;0
2000;20-29 years;70-79 years;15-19 years;0
2000;20-29 years;70-79 years;20 years or more;0
2000;20-29 years;80-89 years;0-4 years;0
2000;20-29 years;80-89 years;5-9 years;0
2000;20-29 years;80-89 years;10-14 years;0
2000;20-29 years;80-89 years;15-19 years;0
2000;20-29 years;80-89 years;20 years or more;0
2000;20-29 years;90 years or more;0-4 years;0
2000;20-29 years;90 years or more;5-9 years;0
2000;20-29 years;90 years or more;10-14 years;0
2000;20-29 years;90 years or more;15-19 years;0
