year;duration;count
2000;less than one year;17
2000;1 year;223
2000;2 years;400
2000;3-5 years;1551
2000;6-10 years;3288
2000;11-20 years;3020
2000;21-30 years;1333
2000;31 years or more;679
2001;less than one year;15
2001;1 year;242
2001;2 years;555
2001;3-5 years;2135
2001;6-10 years;4875
2001;11-20 years;4804
2001;21-30 years;2182
2001;31 years or more;970
2002;less than one year;12
2002;1 year;181
2002;2 years;541
2002;3-5 years;2234
2002;6-10 years;4998
2002;11-20 years;5214
2002;21-30 years;2166
2002;31 years or more;1017
2003;less than one year;16
2003;1 year;196
2003;2 years;451
2003;3-5 years;2299
2003;6-10 years;5043
2003;11-20 years;5374
2003;21-30 years;2348
2003;31 years or more;1072
2004;less than one year;17
2004;1 year;219
2004;2 years;488
2004;3-5 years;2280
2004;6-10 years;5268
2004;11-20 years;5885
2004;21-30 years;2661
2004;31 years or more;1131
2005;less than one year;19
2005;1 year;194
2005;2 years;435
2005;3-5 years;2618
2005;6-10 years;6027
2005;11-20 years;7217
2005;21-30 years;3411
2005;31 years or more;1411
2006;less than one year;8
2006;1 year;181
2006;2 years;451
2006;3-5 years;2376
2006;6-10 years;5759
2006;11-20 years;7247
2006;21-30 years;3513
2006;31 years or more;1446
2007;less than one year;13
2007;1 year;200
2007;2 years;443
2007;3-5 years;2382
2007;6-10 years;5427
2007;11-20 years;6632
2007;21-30 years;3432
2007;31 years or more;1353
2008;less than one year;11
2008;1 year;197
2008;2 years;420
2008;3-5 years;2292
2008;6-10 years;5395
2008;11-20 years;6496
2008;21-30 years;3452
2008;31 years or more;1350
2009;less than one year;14
2009;1 year;182
2009;2 years;474
2009;3-5 years;2231
2009;6-10 years;5433
2009;11-20 years;6271
2009;21-30 years;3404
2009;31 years or more;1312
2010;less than one year;38
2010;1 year;276
2010;2 years;528
2010;3-5 years;2633
2010;6-10 years;6074
2010;11-20 years;6988
2010;21-30 years;4054
2010;31 years or more;1490
2011;less than one year;41
2011;1 year;263
2011;2 years;465
2011;3-5 years;2068
2011;6-10 years;4740
2011;11-20 years;5471
2011;21-30 years;3282
2011;31 years or more;1236
2012;less than one year;31
2012;1 year;256
2012;2 years;469
2012;3-5 years;2191
2012;6-10 years;4657
2012;11-20 years;5383
2012;21-30 years;3304
2012;31 years or more;1259
2013;less than one year;38
2013;1 year;257
2013;2 years;440
2013;3-5 years;2134
2013;6-10 years;4534
2013;11-20 years;5169
2013;21-30 years;3323
2013;31 years or more;1224
2014;less than one year;35
2014;1 year;277
2014;2 years;438
2014;3-5 years;2074
2014;6-10 years;4237
2014;11-20 years;5035
2014;21-30 years;3355
2014;31 years or more;1286
2015;less than one year;36
2015;1 year;282
2015;2 years;442
2015;3-5 years;2113
2015;6-10 years;4280
2015;11-20 years;5261
2015;21-30 years;3272
2015;31 years or more;1274
2016;less than one year;39
2016;1 year;291
2016;2 years;439
2016;3-5 years;2021
2016;6-10 years;4217
2016;11-20 years;5443
2016;21-30 years;3318
2016;31 years or more;1260
2017;less than one year;31
2017;1 year;281
2017;2 years;441
2017;3-5 years;1844
2017;6-10 years;3925
2017;11-20 years;5003
2017;21-30 years;3194
2017;31 years or more;1187
2018;less than one year;29
2018;1 year;268
2018;2 years;454
2018;3-5 years;1898
2018;6-10 years;4002
2018;11-20 years;5318
2018;21-30 years;3271
2018;31 years or more;1302
2019;less than one year;41
2019;1 year;249
2019;2 years;442
2019;3-5 years;1961
2019;6-10 years;3944
2019;11-20 years;5469
2019;21-30 years;3379
2019;31 years or more;1400
2020;less than one year;24
2020;1 year;209
2020;2 years;402
2020;3-5 years;1841
2020;6-10 years;3719
2020;11-20 years;5336
2020;21-30 years;3261
2020;31 years or more;1418
2021;less than one year;24
2021;1 year;177
2021;2 years;365
2021;3-5 years;1827
2021;6-10 years;3870
2021;11-20 years;5923
2021;21-30 years;3487
2021;31 years or more;1486
2022;less than one year;29
2022;1 year;185
2022;2 years;301
2022;3-5 years;1739
2022;6-10 years;3593
2022;11-20 years;5684
2022;21-30 years;3204
2022;31 years or more;1466
2023;less than one year;23
2023;1 year;238
2023;2 years;307
2023;3-5 years;1557
2023;6-10 years;3524
2023;11-20 years;5426
2023;21-30 years;3048
2023;31 years or more;1434
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
