year,M,F
1876,38.94,42.26
1877,38.93,41.85
1878,39.6,42.23
1879,40.75,43.76
1880,41.17,44.14
1881,40.66,43.23
1882,41.63,44.36
1883,43.99,46.04
1884,43.86,46.36
1885,42.59,45.07
1886,43.56,45.9
1887,44.24,46.79
1888,44.71,47.36
1889,44.03,46.23
1890,43.54,46.27
1891,43.41,46.21
1892,45.85,48.64
1893,44.85,47.36
1894,44.54,46.97
1895,45.43,48.32
1896,47.46,50.52
1897,47.73,50.54
1898,46.62,49.86
1899,47.69,51.14
1900,46.18,48.87
1901,47.4,50.66
1902,49.14,51.77
1903,48.77,51.27
1904,47.96,50.41
1905,48.25,51.12
1906,49.31,52.21
1907,49.62,52.69
1908,50.74,53.92
1909,50.13,53.12
1910,51.3,54.66
1911,50.06,53.33
1912,52.82,56.15
1913,52.46,55.92
1914,53.46,56.74
1915,54.15,57.37
1916,55,58.09
1917,54.08,57.39
1918,43.83,48.99
1919,53.85,56.01
1920,53.17,55.73
1921,56.12,59.49
1922,57.18,59.59
1923,58.23,61.75
1924,57.85,61
1925,58.4,61.39
1926,59.01,62.14
1927,58.5,61.51
1928,58.65,62.2
1929,58.2,62.04
1930,59.34,63.51
1931,59.35,62.98
1932,59.33,63
1933,60.45,64.2
1934,60.77,64.89
1935,60.2,63.92
1936,60.97,65.25
1937,61.46,65.38
1938,61.97,65.63
1939,61.84,66.04
1940,61.33,65.67
1941,62.93,67.12
1942,63.51,67.82
1943,63.59,68.03
1944,62.62,67.03
1945,63.33,67.37
1946,64.22,67.76
1947,64.04,68.3
1948,65.13,69.41
1949,65.74,69.98
1950,66.65,71.08
1951,66.29,70.92
1952,67.24,71.84
1953,67.01,71.86
1954,67.56,72.28
1955,67.68,72.31
1956,67.65,72.61
1957,67.84,73.17
1958,68.53,73.9
1959,68.7,74.08
1960,68.64,74.1
1961,68.86,74.59
1962,68.47,74.1
1963,68.33,74.25
1964,69.21,75.11
1965,69.46,75.05
1966,69.54,75.22
1967,69.68,75.69
1968,69.79,75.5
1969,69.71,75.63
1970,70.03,76.13
1971,70.15,76.23
1972,70.6,76.79
1973,70.97,77.02
1974,71.17,77.54
1975,71.48,77.98
1976,71.59,78.13
1977,71.98,78.67
1978,71.88,78.65
1979,72.32,78.79
1980,72.24,78.86
1981,72.4,79.2
1982,72.8,79.5
1983,72.7,79.6
1984,73.4,80.1
1985,73.5,80.2
1986,73.7,80.3
1987,73.9,80.7
1988,73.9,80.8
1989,74.1,81
1990,74,80.8
1991,74.1,81.2
1992,74.5,81.4
1993,74.9,81.5
1994,75.2,81.8
1995,75.3,81.8
1996,76,82
1997,76.3,82.1
1998,76.3,82.5
1999,76.8,82.5
2000,76.9,82.6
2001,77.4,83.1
2002,77.8,83.1
2003,78,83.2
2004,78.6,83.7
2005,78.7,83.9
2006,79.1,84
2007,79.4,84.2
2008,79.7,84.4
2009,79.8,84.4
2010,80.2,84.6
2011,80.3,84.7
2012,80.5,84.7
2013,80.5,84.8
2014,81,85.2
2015,80.7,84.9
2016,81.5,85.3
2017,81.4,85.4
2018,81.7,85.4
2019,81.9,85.6
2020,81,85.1
2021,81.6,85.7
2022,81.6,85.4
2023,82.2,85.8
