year;age_m;age_w;count
2007;18 ;18 ;3
2007;18 ;19 ;9
2007;18 ;20 ;3
2007;18 ;21 ;2
2007;18 ;22 ;1
2007;18 ;23 ;3
2007;18 ;24 ;0
2007;18 ;25 ;0
2007;18 ;26 ;1
2007;18 ;27 ;0
2007;18 ;28 ;0
2007;18 ;29 ;1
2007;18 ;30 ;0
2007;18 ;31 ;1
2007;18 ;32 ;0
2007;18 ;33 ;0
2007;18 ;34 ;0
2007;18 ;35 ;0
2007;18 ;36 ;0
2007;18 ;37 ;0
2007;18 ;38 ;0
2007;18 ;39 ;0
2007;18 ;40 ;0
2007;18 ;41 ;0
2007;18 ;42 ;0
2007;18 ;43 ;0
2007;18 ;44 ;0
2007;18 ;45 ;0
2007;18 ;46 ;0
2007;18 ;47 ;0
2007;18 ;48 ;0
2007;18 ;49 ;0
2007;18 ;50 ;0
2007;18 ;51 ;0
2007;18 ;52 ;0
2007;18 ;53 ;0
2007;18 ;54 ;0
2007;18 ;55 ;0
2007;18 ;56 ;0
2007;18 ;57 ;0
2007;18 ;58 ;0
2007;18 ;59 ;0
2007;18 ;60 ;0
2007;18 ;61 ;0
2007;18 ;62 ;0
2007;18 ;63 ;0
2007;18 ;64 ;0
2007;18 ;65 ;0
2007;18 ;66 ;0
2007;18 ;67 ;0
2007;18 ;68 ;0
2007;18 ;69 ;0
2007;18 ;70 ;0
2007;18 ;71 ;0
2007;18 ;72 ;0
2007;18 ;73 ;0
2007;18 ;74 ;0
2007;18 ;75 ;0
2007;18 ;76 ;0
2007;18 ;77 ;0
2007;18 ;78 ;0
2007;18 ;79 ;0
2007;18 ;80 ;0
2007;18 ;81 ;0
2007;18 ;82 ;0
2007;18 ;83 ;0
2007;18 ;84 ;0
2007;18 ;85 ;0
2007;18 ;86 ;0
2007;18 ;87 ;0
2007;18 ;88 ;0
2007;18 ;89 ;0
2007;18 ;90 ;0
2007;18 ;91 ;0
2007;18 ;92 ;0
2007;18 ;93 ;0
2007;18 ;94 ;0
2007;18 ;95 ;0
2007;18 ;99 ;0
2007;18 ;100;0
2007;19 ;18 ;20
2007;19 ;19 ;29
2007;19 ;20 ;16
2007;19 ;21 ;14
2007;19 ;22 ;9
2007;19 ;23 ;4
2007;19 ;24 ;4
2007;19 ;25 ;4
2007;19 ;26 ;1
2007;19 ;27 ;2
2007;19 ;28 ;0
2007;19 ;29 ;1
2007;19 ;30 ;0
2007;19 ;31 ;0
2007;19 ;32 ;0
2007;19 ;33 ;1
2007;19 ;34 ;0
2007;19 ;35 ;1
2007;19 ;36 ;0
2007;19 ;37 ;0
2007;19 ;38 ;0
2007;19 ;39 ;1
2007;19 ;40 ;0
2007;19 ;41 ;0
2007;19 ;42 ;0
2007;19 ;43 ;0
2007;19 ;44 ;0
2007;19 ;45 ;0
2007;19 ;46 ;0
2007;19 ;47 ;1
2007;19 ;48 ;0
2007;19 ;49 ;0
2007;19 ;50 ;0
2007;19 ;51 ;0
2007;19 ;52 ;0
2007;19 ;53 ;0
2007;19 ;54 ;0
2007;19 ;55 ;0
2007;19 ;56 ;0
2007;19 ;57 ;0
2007;19 ;58 ;0
2007;19 ;59 ;0
2007;19 ;60 ;0
2007;19 ;61 ;0
2007;19 ;62 ;0
2007;19 ;63 ;0
2007;19 ;64 ;0
2007;19 ;65 ;0
2007;19 ;66 ;0
2007;19 ;67 ;0
2007;19 ;68 ;0
2007;19 ;69 ;0
2007;19 ;70 ;0
2007;19 ;71 ;0
2007;19 ;72 ;0
2007;19 ;73 ;0
2007;19 ;74 ;0
2007;19 ;75 ;0
2007;19 ;76 ;0
2007;19 ;77 ;0
2007;19 ;78 ;0
2007;19 ;79 ;0
2007;19 ;80 ;0
2007;19 ;81 ;0
2007;19 ;82 ;0
2007;19 ;83 ;0
2007;19 ;84 ;0
2007;19 ;85 ;0
2007;19 ;86 ;0
2007;19 ;87 ;0
2007;19 ;88 ;0
2007;19 ;89 ;0
2007;19 ;90 ;0
2007;19 ;91 ;0
2007;19 ;92 ;0
2007;19 ;93 ;0
2007;19 ;94 ;0
2007;19 ;95 ;0
2007;19 ;99 ;0
2007;19 ;100;0
2007;20 ;18 ;34
2007;20 ;19 ;34
2007;20 ;20 ;47
2007;20 ;21 ;26
2007;20 ;22 ;18
2007;20 ;23 ;14
2007;20 ;24 ;4
