year;age_group_m;marital_status_m;marital_status_w;age_group_w;count
2007;Meno di 20 anni;Celibe/nubile;Celibe/nubile;Meno di 20 anni;67
2007;Meno di 20 anni;Celibe/nubile;Celibe/nubile;20-24 anni;53
2007;Meno di 20 anni;Celibe/nubile;Celibe/nubile;25-29 anni;8
2007;Meno di 20 anni;Celibe/nubile;Celibe/nubile;30-34 anni;1
2007;Meno di 20 anni;Celibe/nubile;Celibe/nubile;35-39 anni;1
2007;Meno di 20 anni;Celibe/nubile;Celibe/nubile;40-49 anni;0
2007;Meno di 20 anni;Celibe/nubile;Celibe/nubile;50-59 anni;0
2007;Meno di 20 anni;Celibe/nubile;Celibe/nubile;60 anni o più;0
2007;Meno di 20 anni;Celibe/nubile;Vedovo/a;Meno di 20 anni;0
2007;Meno di 20 anni;Celibe/nubile;Vedovo/a;20-24 anni;0
2007;Meno di 20 anni;Celibe/nubile;Vedovo/a;25-29 anni;0
2007;Meno di 20 anni;Celibe/nubile;Vedovo/a;30-34 anni;0
2007;Meno di 20 anni;Celibe/nubile;Vedovo/a;35-39 anni;0
2007;Meno di 20 anni;Celibe/nubile;Vedovo/a;40-49 anni;0
2007;Meno di 20 anni;Celibe/nubile;Vedovo/a;50-59 anni;0
2007;Meno di 20 anni;Celibe/nubile;Vedovo/a;60 anni o più;0
2007;Meno di 20 anni;Celibe/nubile;Divorziato/a;Meno di 20 anni;0
2007;Meno di 20 anni;Celibe/nubile;Divorziato/a;20-24 anni;3
2007;Meno di 20 anni;Celibe/nubile;Divorziato/a;25-29 anni;2
2007;Meno di 20 anni;Celibe/nubile;Divorziato/a;30-34 anni;1
2007;Meno di 20 anni;Celibe/nubile;Divorziato/a;35-39 anni;1
2007;Meno di 20 anni;Celibe/nubile;Divorziato/a;40-49 anni;1
2007;Meno di 20 anni;Celibe/nubile;Divorziato/a;50-59 anni;0
2007;Meno di 20 anni;Celibe/nubile;Divorziato/a;60 anni o più;0
2007;Meno di 20 anni;Celibe/nubile;In unione domestica registrata;Meno di 20 anni;0
2007;Meno di 20 anni;Celibe/nubile;In unione domestica registrata;20-24 anni;0
2007;Meno di 20 anni;Celibe/nubile;In unione domestica registrata;25-29 anni;0
2007;Meno di 20 anni;Celibe/nubile;In unione domestica registrata;30-34 anni;0
2007;Meno di 20 anni;Celibe/nubile;In unione domestica registrata;35-39 anni;0
2007;Meno di 20 anni;Celibe/nubile;In unione domestica registrata;40-49 anni;0
2007;Meno di 20 anni;Celibe/nubile;In unione domestica registrata;50-59 anni;0
2007;Meno di 20 anni;Celibe/nubile;In unione domestica registrata;60 anni o più;0
2007;Meno di 20 anni;Celibe/nubile;Altro (Non coniugato/a, unione domestica sciolta);Meno di 20 anni;0
2007;Meno di 20 anni;Celibe/nubile;Altro (Non coniugato/a, unione domestica sciolta);20-24 anni;0
2007;Meno di 20 anni;Celibe/nubile;Altro (Non coniugato/a, unione domestica sciolta);25-29 anni;0
2007;Meno di 20 anni;Celibe/nubile;Altro (Non coniugato/a, unione domestica sciolta);30-34 anni;0
2007;Meno di 20 anni;Celibe/nubile;Altro (Non coniugato/a, unione domestica sciolta);35-39 anni;0
2007;Meno di 20 anni;Celibe/nubile;Altro (Non coniugato/a, unione domestica sciolta);40-49 anni;0
2007;Meno di 20 anni;Celibe/nubile;Altro (Non coniugato/a, unione domestica sciolta);50-59 anni;0
2007;Meno di 20 anni;Celibe/nubile;Altro (Non coniugato/a, unione domestica sciolta);60 anni o più;0
2007;Meno di 20 anni;Vedovo/a;Celibe/nubile;Meno di 20 anni;0
2007;Meno di 20 anni;Vedovo/a;Celibe/nubile;20-24 anni;0
2007;Meno di 20 anni;Vedovo/a;Celibe/nubile;25-29 anni;0
2007;Meno di 20 anni;Vedovo/a;Celibe/nubile;30-34 anni;0
2007;Meno di 20 anni;Vedovo/a;Celibe/nubile;35-39 anni;0
2007;Meno di 20 anni;Vedovo/a;Celibe/nubile;40-49 anni;0
2007;Meno di 20 anni;Vedovo/a;Celibe/nubile;50-59 anni;0
2007;Meno di 20 anni;Vedovo/a;Celibe/nubile;60 anni o più;0
2007;Meno di 20 anni;Vedovo/a;Vedovo/a;Meno di 20 anni;0
2007;Meno di 20 anni;Vedovo/a;Vedovo/a;20-24 anni;0
2007;Meno di 20 anni;Vedovo/a;Vedovo/a;25-29 anni;0
2007;Meno di 20 anni;Vedovo/a;Vedovo/a;30-34 anni;0
2007;Meno di 20 anni;Vedovo/a;Vedovo/a;35-39 anni;0
2007;Meno di 20 anni;Vedovo/a;Vedovo/a;40-49 anni;0
2007;Meno di 20 anni;Vedovo/a;Vedovo/a;50-59 anni;0
2007;Meno di 20 anni;Vedovo/a;Vedovo/a;60 anni o più;0
2007;Meno di 20 anni;Vedovo/a;Divorziato/a;Meno di 20 anni;0
2007;Meno di 20 anni;Vedovo/a;Divorziato/a;20-24 anni;0
2007;Meno di 20 anni;Vedovo/a;Divorziato/a;25-29 anni;0
2007;Meno di 20 anni;Vedovo/a;Divorziato/a;30-34 anni;0
2007;Meno di 20 anni;Vedovo/a;Divorziato/a;35-39 anni;0
2007;Meno di 20 anni;Vedovo/a;Divorziato/a;40-49 anni;0
2007;Meno di 20 anni;Vedovo/a;Divorziato/a;50-59 anni;0
2007;Meno di 20 anni;Vedovo/a;Divorziato/a;60 anni o più;0
2007;Meno di 20 anni;Vedovo/a;In unione domestica registrata;Meno di 20 anni;0
2007;Meno di 20 anni;Vedovo/a;In unione domestica registrata;20-24 anni;0
2007;Meno di 20 anni;Vedovo/a;In unione domestica registrata;25-29 anni;0
2007;Meno di 20 anni;Vedovo/a;In unione domestica registrata;30-34 anni;0
2007;Meno di 20 anni;Vedovo/a;In unione domestica registrata;35-39 anni;0
2007;Meno di 20 anni;Vedovo/a;In unione domestica registrata;40-49 anni;0
2007;Meno di 20 anni;Vedovo/a;In unione domestica registrata;50-59 anni;0
2007;Meno di 20 anni;Vedovo/a;In unione domestica registrata;60 anni o più;0
2007;Meno di 20 anni;Vedovo/a;Altro (Non coniugato/a, unione domestica sciolta);Meno di 20 anni;0
2007;Meno di 20 anni;Vedovo/a;Altro (Non coniugato/a, unione domestica sciolta);20-24 anni;0
2007;Meno di 20 anni;Vedovo/a;Altro (Non coniugato/a, unione domestica sciolta);25-29 anni;0
2007;Meno di 20 anni;Vedovo/a;Altro (Non coniugato/a, unione domestica sciolta);30-34 anni;0
2007;Meno di 20 anni;Vedovo/a;Altro (Non coniugato/a, unione domestica sciolta);35-39 anni;0
2007;Meno di 20 anni;Vedovo/a;Altro (Non coniugato/a, unione domestica sciolta);40-49 anni;0
2007;Meno di 20 anni;Vedovo/a;Altro (Non coniugato/a, unione domestica sciolta);50-59 anni;0
2007;Meno di 20 anni;Vedovo/a;Altro (Non coniugato/a, unione domestica sciolta);60 anni o più;0
2007;Meno di 20 anni;Divorziato/a;Celibe/nubile;Meno di 20 anni;0
2007;Meno di 20 anni;Divorziato/a;Celibe/nubile;20-24 anni;0
2007;Meno di 20 anni;Divorziato/a;Celibe/nubile;25-29 anni;0
2007;Meno di 20 anni;Divorziato/a;Celibe/nubile;30-34 anni;0
2007;Meno di 20 anni;Divorziato/a;Celibe/nubile;35-39 anni;0
2007;Meno di 20 anni;Divorziato/a;Celibe/nubile;40-49 anni;0
