year;age_group;M;F
2010;0-4 years;0;0
2010;5-9 years;0;0
2010;10-14 years;3;4
2010;15-19 years;131;1281
2010;20-24 years;10408;26395
2010;25-29 years;53745;84388
2010;30-34 years;113958;147376
2010;35-39 years;163444;185491
2010;40-44 years;206420;215213
2010;45-49 years;225367;217153
2010;50-54 years;203554;189504
2010;55-59 years;178541;163028
2010;60-64 years;170601;153601
2010;65-69 years;148199;127946
2010;70-74 years;108737;91931
2010;75-79 years;84751;65397
2010;80-84 years;53713;36799
2010;85-89 years;25096;13612
2010;90-94 years;6182;2378
2010;95-99 years;837;228
2010;100 years or older;43;14
2011;0-4 years;0;0
2011;5-9 years;0;0
2011;10-14 years;0;0
2011;15-19 years;90;1047
2011;20-24 years;9831;25163
2011;25-29 years;53125;83352
2011;30-34 years;115120;148130
2011;35-39 years;161355;182957
2011;40-44 years;201580;211408
2011;45-49 years;226611;218893
2011;50-54 years;206873;193278
2011;55-59 years;182036;165662
2011;60-64 years;168438;151440
2011;65-69 years;152333;132199
2011;70-74 years;112210;94427
2011;75-79 years;86124;66805
2011;80-84 years;55428;38171
2011;85-89 years;25881;14236
2011;90-94 years;6897;2770
2011;95-99 years;857;234
2011;100 years or older;47;15
2012;0-4 years;0;0
2012;5-9 years;0;0
2012;10-14 years;0;0
2012;15-19 years;105;1003
2012;20-24 years;9354;24211
2012;25-29 years;52417;82451
2012;30-34 years;116784;149585
2012;35-39 years;160476;181619
2012;40-44 years;198025;207297
2012;45-49 years;225987;219021
2012;50-54 years;210859;197522
2012;55-59 years;185276;167918
2012;60-64 years;167091;150798
2012;65-69 years;154536;135007
2012;70-74 years;117336;98385
2012;75-79 years;87189;67838
2012;80-84 years;57489;39540
2012;85-89 years;26782;14839
2012;90-94 years;7299;3005
2012;95-99 years;843;242
2012;100 years or older;50;10
2013;0-4 years;0;0
2013;5-9 years;0;0
2013;10-14 years;0;0
2013;15-19 years;92;860
2013;20-24 years;8575;22976
2013;25-29 years;51306;81314
2013;30-34 years;117900;150389
2013;35-39 years;160832;181533
2013;40-44 years;194090;202755
2013;45-49 years;224169;218122
2013;50-54 years;215806;202336
2013;55-59 years;189439;170873
2013;60-64 years;165628;149937
2013;65-69 years;155871;136863
2013;70-74 years;122468;102711
2013;75-79 years;88947;69380
2013;80-84 years;58965;40713
2013;85-89 years;27693;15385
2013;90-94 years;7758;3225
2013;95-99 years;862;248
2013;100 years or older;70;12
2014;0-4 years;0;0
2014;5-9 years;0;0
2014;10-14 years;0;0
2014;15-19 years;66;769
2014;20-24 years;8098;21960
2014;25-29 years;50512;80530
2014;30-34 years;119308;151208
2014;35-39 years;161555;182292
2014;40-44 years;191499;199253
2014;45-49 years;220035;215336
2014;50-54 years;220888;206852
2014;55-59 years;193225;174812
2014;60-64 years;166018;150089
2014;65-69 years;155651;137614
2014;70-74 years;127877;107133
2014;75-79 years;90671;71237
2014;80-84 years;60882;41923
2014;85-89 years;28777;16147
2014;90-94 years;8266;3490
2014;95-99 years;901;260
2014;100 years or older;65;9
2015;0-4 years;0;0
2015;5-9 years;0;0
2015;10-14 years;0;0
2015;15-19 years;77;739
2015;20-24 years;7677;20793
2015;25-29 years;49584;79453
2015;30-34 years;119221;151262
2015;35-39 years;163600;183630
2015;40-44 years;188489;196394
2015;45-49 years;215252;212656
2015;50-54 years;224021;209365
2015;55-59 years;196785;179121
2015;60-64 years;167050;150207
2015;65-69 years;155086;138035
2015;70-74 years;133100;111104
2015;75-79 years;91967;72596
2015;80-84 years;62470;42838
2015;85-89 years;29993;17056
2015;90-94 years;8434;3576
2015;95-99 years;1021;290
2015;100 years or older;57;9
2016;0-4 years;0;0
2016;5-9 years;0;0
2016;10-14 years;0;0
2016;15-19 years;71;702
2016;20-24 years;7123;19649
2016;25-29 years;49184;78775
2016;30-34 years;119361;150822
2016;35-39 years;165504;185078
2016;40-44 years;185701;193669
2016;45-49 years;210439;209411
2016;50-54 years;225401;211243
2016;55-59 years;200008;182856
2016;60-64 years;170119;152498
2016;65-69 years;152588;136068
2016;70-74 years;137106;115101
2016;75-79 years;95226;74922
2016;80-84 years;63972;44112
2016;85-89 years;31358;18097
2016;90-94 years;8906;3825
2016;95-99 years;1162;325
2016;100 years or older;57;14
2017;0-4 years;0;0
2017;5-9 years;0;0
2017;10-14 years;0;0
2017;15-19 years;55;571
2017;20-24 years;6495;18285
2017;25-29 years;47643;77111
2017;30-34 years;118159;149591
2017;35-39 years;166965;186444
2017;40-44 years;183924;192425
2017;45-49 years;205671;205606
2017;50-54 years;224389;211434
2017;55-59 years;203589;186577
2017;60-64 years;172601;154355
2017;65-69 years;150720;135138
2017;70-74 years;138940;117513
2017;75-79 years;99698;78280
2017;80-84 years;65010;45045
2017;85-89 years;32899;18797
2017;90-94 years;9192;4016
2017;95-99 years;1216;377
2017;100 years or older;60;12
2018;0-4 years;0;0
2018;5-9 years;0;0
2018;10-14 years;0;0
2018;15-19 years;50;518
2018;20-24 years;5957;17145
2018;25-29 years;45754;74871
2018;30-34 years;117668;149310
2018;35-39 years;167598;187326
2018;40-44 years;183296;191747
2018;45-49 years;200684;201152
2018;50-54 years;221630;210297
2018;55-59 years;207512;190466
2018;60-64 years;175474;156578
2018;65-69 years;148594;133885
2018;70-74 years;140000;119185
2018;75-79 years;104235;82083
2018;80-84 years;66685;46330
2018;85-89 years;34017;19513
2018;90-94 years;9639;4252
2018;95-99 years;1275;400
2018;100 years or older;54;12
2019;0-4 years;0;0
2019;5-9 years;0;0
2019;10-14 years;0;0
2019;15-19 years;41;433
2019;20-24 years;5438;15770
2019;25-29 years;43586;72225
2019;30-34 years;116439;148079
2019;35-39 years;168244;187485
2019;40-44 years;182462;192006
2019;45-49 years;196769;197065
2019;50-54 years;216648;207094
2019;55-59 years;211623;194422
2019;60-64 years;178279;159557
2019;65-69 years;148151;133490
2019;70-74 years;139416;119665
2019;75-79 years;108885;85897
2019;80-84 years;68284;47912
2019;85-89 years;35294;20251
2019;90-94 years;10204;4481
2019;95-99 years;1363;432
2019;100 years or older;58;8
2020;0-4 years;0;0
2020;5-9 years;0;0
2020;10-14 years;0;0
2020;15-19 years;45;273
2020;20-24 years;4782;13994
2020;25-29 years;39792;67930
2020;30-34 years;113960;145825
2020;35-39 years;166865;186693
2020;40-44 years;183792;193230
2020;45-49 years;192861;193765
2020;50-54 years;211212;204262
2020;55-59 years;214170;196550
2020;60-64 years;181200;162987
2020;65-69 years;148525;133393
2020;70-74 years;138563;119555
2020;75-79 years;113314;89102
2020;80-84 years;68988;48647
2020;85-89 years;35925;20491
2020;90-94 years;10608;4705
2020;95-99 years;1371;460
2020;100 years or older;66;15
2021;0-4 years;0;0
2021;5-9 years;0;0
2021;10-14 years;0;0
2021;15-19 years;43;271
2021;20-24 years;4353;12671
2021;25-29 years;37389;64183
2021;30-34 years;111414;143459
2021;35-39 years;165520;185637
2021;40-44 years;184368;193918
2021;45-49 years;189358;190669
2021;50-54 years;205806;200607
2021;55-59 years;214995;197939
2021;60-64 years;183454;165857
2021;65-69 years;150724;135053
2021;70-74 years;136061;117920
2021;75-79 years;116628;92417
2021;80-84 years;71844;50662
2021;85-89 years;37051;21424
2021;90-94 years;11243;4990
2021;95-99 years;1435;490
2021;100 years or older;86;26
2022;0-4 years;0;0
2022;5-9 years;0;0
2022;10-14 years;0;0
2022;15-19 years;41;305
2022;20-24 years;4250;12123
2022;25-29 years;35699;61358
2022;30-34 years;110154;142487
2022;35-39 years;165356;184898
2022;40-44 years;186445;195931
2022;45-49 years;187979;189552
2022;50-54 years;201421;196934
2022;55-59 years;214289;197852
2022;60-64 years;186539;169086
2022;65-69 years;152546;136513
2022;70-74 years;134752;117206
2022;75-79 years;118122;94464
2022;80-84 years;75358;53145
2022;85-89 years;37833;21969
2022;90-94 years;11782;5150
2022;95-99 years;1429;519
2022;100 years or older;77;24
2023;0-4 years;0;0
2023;5-9 years;0;0
2023;10-14 years;0;0
2023;15-19 years;37;293
2023;20-24 years;4273;11718
