Year,Sex,Age,Population
2000,M,0,39969
2000,M,1,40304
2000,M,2,40524
2000,M,3,41261
2000,M,4,42351
2000,M,5,41544
2000,M,6,42315
2000,M,7,43042
2000,M,8,44932
2000,M,9,45389
2000,M,10,45290
2000,M,11,44209
2000,M,12,44458
2000,M,13,42805
2000,M,14,43059
2000,M,15,42623
2000,M,16,43334
2000,M,17,42579
2000,M,18,42979
2000,M,19,43040
2000,M,20,43154
2000,M,21,41630
2000,M,22,41461
2000,M,23,41937
2000,M,24,41662
2000,M,25,42662
2000,M,26,44665
2000,M,27,46105
2000,M,28,48553
2000,M,29,50474
2000,M,30,52570
2000,M,31,54474
2000,M,32,56825
2000,M,33,58661
2000,M,34,61166
2000,M,35,63192
2000,M,36,64423
2000,M,37,63308
2000,M,38,61765
2000,M,39,59897
2000,M,40,59228
2000,M,41,57569
2000,M,42,56363
2000,M,43,55590
2000,M,44,54521
2000,M,45,52591
2000,M,46,51123
2000,M,47,49617
2000,M,48,49945
2000,M,49,48265
2000,M,50,50043
2000,M,51,49239
2000,M,52,49849
2000,M,53,49269
2000,M,54,49264
2000,M,55,47840
2000,M,56,46543
2000,M,57,44869
2000,M,58,42875
2000,M,59,39495
2000,M,60,36355
2000,M,61,35190
2000,M,62,33967
2000,M,63,32419
2000,M,64,32204
2000,M,65,31496
2000,M,66,30434
2000,M,67,28702
2000,M,68,28173
2000,M,69,26945
2000,M,70,26355
2000,M,71,24648
2000,M,72,23481
2000,M,73,22372
2000,M,74,21469
2000,M,75,20607
2000,M,76,19113
2000,M,77,18463
2000,M,78,16945
2000,M,79,16378
2000,M,80,14973
2000,M,81,11835
2000,M,82,10501
2000,M,83,9245
2000,M,84,8349
2000,M,85,7359
2000,M,86,7133
2000,M,87,5933
2000,M,88,4980
2000,M,89,3784
2000,M,90,3197
2000,M,91,2353
2000,M,92,1751
2000,M,93,1248
2000,M,94,937
2000,M,95,596
2000,M,96,377
2000,M,97,285
2000,M,98,184
2000,M,99,273
2000,F,0,37673
2000,F,1,38097
2000,F,2,38532
2000,F,3,39121
2000,F,4,40078
2000,F,5,39408
2000,F,6,39904
2000,F,7,40374
2000,F,8,42590
2000,F,9,42608
2000,F,10,42508
2000,F,11,41722
2000,F,12,41905
2000,F,13,40471
2000,F,14,40840
2000,F,15,40624
2000,F,16,40253
2000,F,17,39948
2000,F,18,41003
2000,F,19,40685
2000,F,20,41390
2000,F,21,40873
2000,F,22,40434
2000,F,23,41434
2000,F,24,42540
2000,F,25,43261
2000,F,26,45424
2000,F,27,47131
2000,F,28,49675
2000,F,29,52532
2000,F,30,54161
2000,F,31,56507
2000,F,32,58308
2000,F,33,59807
2000,F,34,61562
2000,F,35,62260
2000,F,36,63281
2000,F,37,62270
2000,F,38,60397
2000,F,39,58926
2000,F,40,58041
2000,F,41,56467
2000,F,42,54605
2000,F,43,54038
2000,F,44,52699
2000,F,45,51421
2000,F,46,50770
2000,F,47,49685
2000,F,48,49762
2000,F,49,47913
2000,F,50,49406
2000,F,51,48942
2000,F,52,49773
2000,F,53,48896
2000,F,54,48936
2000,F,55,46742
2000,F,56,46440
2000,F,57,45098
2000,F,58,43220
2000,F,59,40745
2000,F,60,38372
2000,F,61,37227
2000,F,62,36145
2000,F,63,34836
2000,F,64,35349
2000,F,65,34763
2000,F,66,34438
2000,F,67,33603
2000,F,68,33339
2000,F,69,32636
2000,F,70,32858
2000,F,71,31744
2000,F,72,31126
2000,F,73,29958
2000,F,74,29986
2000,F,75,29355
2000,F,76,28683
2000,F,77,27530
2000,F,78,25984
2000,F,79,26190
2000,F,80,24299
2000,F,81,19826
2000,F,82,18047
2000,F,83,17022
2000,F,84,15953
2000,F,85,14976
2000,F,86,14971
2000,F,87,13342
2000,F,88,11998
2000,F,89,10205
2000,F,90,8624
2000,F,91,6834
2000,F,92,5679
2000,F,93,4170
2000,F,94,3179
2000,F,95,2236
2000,F,96,1625
2000,F,97,1062
2000,F,98,799
2000,F,99,1272
2001,M,0,36864
2001,M,1,37231
2001,M,2,38986
2001,M,3,39548
2001,M,4,40537
2001,M,5,41841
2001,M,6,41543
2001,M,7,42395
2001,M,8,42896
2001,M,9,44672
2001,M,10,45263
2001,M,11,44977
2001,M,12,44257
2001,M,13,44415
2001,M,14,42699
2001,M,15,42814
2001,M,16,42498
2001,M,17,43169
2001,M,18,42480
2001,M,19,42902
2001,M,20,43099
2001,M,21,43065
2001,M,22,42366
2001,M,23,42418
2001,M,24,43354
2001,M,25,43426
2001,M,26,44550
2001,M,27,46733
2001,M,28,48209
2001,M,29,50359
2001,M,30,52796
2001,M,31,54385
2001,M,32,56497
2001,M,33,58755
2001,M,34,60184
2001,M,35,62155
2001,M,36,63645
2001,M,37,65068
2001,M,38,63633
2001,M,39,61827
2001,M,40,60072
2001,M,41,58968
2001,M,42,57703
2001,M,43,56434
2001,M,44,55662
2001,M,45,54723
2001,M,46,52589
2001,M,47,50999
2001,M,48,49604
2001,M,49,49819
2001,M,50,48180
2001,M,51,49768
2001,M,52,49121
2001,M,53,49582
2001,M,54,48871
2001,M,55,48856
2001,M,56,47231
2001,M,57,45970
2001,M,58,44293
2001,M,59,42244
2001,M,60,38864
2001,M,61,35611
2001,M,62,34541
2001,M,63,33380
2001,M,64,31701
2001,M,65,31253
2001,M,66,30656
2001,M,67,29687
2001,M,68,27919
2001,M,69,27473
2001,M,70,26394
2001,M,71,25637
2001,M,72,24010
2001,M,73,22845
2001,M,74,21635
2001,M,75,20672
2001,M,76,19776
2001,M,77,18287
2001,M,78,17603
2001,M,79,16139
2001,M,80,15512
2001,M,81,14079
2001,M,82,11038
2001,M,83,9721
2001,M,84,8458
2001,M,85,7624
2001,M,86,6662
2001,M,87,6311
2001,M,88,5239
2001,M,89,4298
2001,M,90,3205
2001,M,91,2616
2001,M,92,1947
2001,M,93,1435
2001,M,94,989
2001,M,95,729
2001,M,96,460
2001,M,97,263
2001,M,98,191
2001,M,99,289
2001,F,0,34953
2001,F,1,35038
2001,F,2,36952
2001,F,3,37728
2001,F,4,38454
2001,F,5,39720
2001,F,6,39557
2001,F,7,40230
2001,F,8,40738
2001,F,9,42837
2001,F,10,42820
2001,F,11,42674
2001,F,12,42025
2001,F,13,42132
2001,F,14,40522
2001,F,15,41017
2001,F,16,40814
2001,F,17,40541
2001,F,18,40288
2001,F,19,41726
2001,F,20,41492
2001,F,21,42419
2001,F,22,42166
2001,F,23,42138
2001,F,24,43118
2001,F,25,44086
2001,F,26,44878
2001,F,27,47102
2001,F,28,48502
2001,F,29,50915
2001,F,30,53659
2001,F,31,55160
