"Tipo di popolazione","Anno","Età","Sesso","Stato civile","Popolazione residente permanente e non permanente"
"Popolazione residente permanente","2010","0 anni","Uomo","Celibe/nubile",39948
"Popolazione residente permanente","2010","0 anni","Uomo","Coniugato, in unione domestica registrata",0
"Popolazione residente permanente","2010","0 anni","Uomo","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","0 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","0 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","0 anni","Donna","Celibe/nubile",38083
"Popolazione residente permanente","2010","0 anni","Donna","Coniugato, in unione domestica registrata",0
"Popolazione residente permanente","2010","0 anni","Donna","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","0 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","0 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","1 anno","Uomo","Celibe/nubile",40911
"Popolazione residente permanente","2010","1 anno","Uomo","Coniugato, in unione domestica registrata",0
"Popolazione residente permanente","2010","1 anno","Uomo","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","1 anno","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","1 anno","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","1 anno","Donna","Celibe/nubile",38440
"Popolazione residente permanente","2010","1 anno","Donna","Coniugato, in unione domestica registrata",0
"Popolazione residente permanente","2010","1 anno","Donna","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","1 anno","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","1 anno","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","2 anni","Uomo","Celibe/nubile",40657
"Popolazione residente permanente","2010","2 anni","Uomo","Coniugato, in unione domestica registrata",0
"Popolazione residente permanente","2010","2 anni","Uomo","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","2 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","2 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","2 anni","Donna","Celibe/nubile",38136
"Popolazione residente permanente","2010","2 anni","Donna","Coniugato, in unione domestica registrata",0
"Popolazione residente permanente","2010","2 anni","Donna","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","2 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","2 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","3 anni","Uomo","Celibe/nubile",39776
"Popolazione residente permanente","2010","3 anni","Uomo","Coniugato, in unione domestica registrata",0
"Popolazione residente permanente","2010","3 anni","Uomo","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","3 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","3 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","3 anni","Donna","Celibe/nubile",37932
"Popolazione residente permanente","2010","3 anni","Donna","Coniugato, in unione domestica registrata",0
"Popolazione residente permanente","2010","3 anni","Donna","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","3 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","3 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","4 anni","Uomo","Celibe/nubile",39466
"Popolazione residente permanente","2010","4 anni","Uomo","Coniugato, in unione domestica registrata",0
"Popolazione residente permanente","2010","4 anni","Uomo","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","4 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","4 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","4 anni","Donna","Celibe/nubile",37280
"Popolazione residente permanente","2010","4 anni","Donna","Coniugato, in unione domestica registrata",0
"Popolazione residente permanente","2010","4 anni","Donna","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","4 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","4 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","5 anni","Uomo","Celibe/nubile",39510
"Popolazione residente permanente","2010","5 anni","Uomo","Coniugato, in unione domestica registrata",0
"Popolazione residente permanente","2010","5 anni","Uomo","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","5 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","5 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","5 anni","Donna","Celibe/nubile",37264
"Popolazione residente permanente","2010","5 anni","Donna","Coniugato, in unione domestica registrata",0
"Popolazione residente permanente","2010","5 anni","Donna","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","5 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","5 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","6 anni","Uomo","Celibe/nubile",39273
"Popolazione residente permanente","2010","6 anni","Uomo","Coniugato, in unione domestica registrata",0
"Popolazione residente permanente","2010","6 anni","Uomo","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","6 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","6 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","6 anni","Donna","Celibe/nubile",37670
"Popolazione residente permanente","2010","6 anni","Donna","Coniugato, in unione domestica registrata",0
"Popolazione residente permanente","2010","6 anni","Donna","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","6 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","6 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","7 anni","Uomo","Celibe/nubile",38709
"Popolazione residente permanente","2010","7 anni","Uomo","Coniugato, in unione domestica registrata",0
"Popolazione residente permanente","2010","7 anni","Uomo","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","7 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","7 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","7 anni","Donna","Celibe/nubile",36915
"Popolazione residente permanente","2010","7 anni","Donna","Coniugato, in unione domestica registrata",0
"Popolazione residente permanente","2010","7 anni","Donna","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","7 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","7 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","8 anni","Uomo","Celibe/nubile",39436
"Popolazione residente permanente","2010","8 anni","Uomo","Coniugato, in unione domestica registrata",0
"Popolazione residente permanente","2010","8 anni","Uomo","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","8 anni","Uomo","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","8 anni","Uomo","Senza indicazione",0
"Popolazione residente permanente","2010","8 anni","Donna","Celibe/nubile",37201
"Popolazione residente permanente","2010","8 anni","Donna","Coniugato, in unione domestica registrata",0
"Popolazione residente permanente","2010","8 anni","Donna","Vedovo, unione domestica sciolta per decesso",0
"Popolazione residente permanente","2010","8 anni","Donna","Divorziato, non coniugato, unione domestica sciolta giudizialmente",0
"Popolazione residente permanente","2010","8 anni","Donna","Senza indicazione",0
"Popolazione residente permanente","2010","9 anni","Uomo","Celibe/nubile",39684
