"Year","Sex of child","Birth order","Citizenship of mother","Marital status of mother","Age class of mother","Less than 20 years","20-24 years","25-29 years","30-34 years","35-39 years","40-44 years","45-49 years","50-59 years","60-69 years","70 years or more","Unknown"
"2000","Boy","First child","Citizenship of mother - total","Married","Less than 20 years",12,106,44,18,5,1,1,3,1,0,0
"2000","Boy","First child","Citizenship of mother - total","Married","20-24 years",9,781,1079,459,135,36,7,3,0,1,0
"2000","Boy","First child","Citizenship of mother - total","Married","25-29 years",1,187,2017,2495,703,193,56,34,2,1,0
"2000","Boy","First child","Citizenship of mother - total","Married","30-34 years",0,26,599,2741,1591,415,109,53,7,1,0
"2000","Boy","First child","Citizenship of mother - total","Married","35-39 years",0,5,82,443,783,387,118,65,6,0,0
"2000","Boy","First child","Citizenship of mother - total","Married","40-44 years",0,2,8,48,61,116,50,19,3,0,0
"2000","Boy","First child","Citizenship of mother - total","Married","45-49 years",0,0,0,3,3,3,6,2,0,0,0
"2000","Boy","First child","Citizenship of mother - total","Married","50 years or more",0,0,0,1,0,0,0,0,0,0,0
"2000","Boy","First child","Citizenship of mother - total","Other","Less than 20 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","First child","Citizenship of mother - total","Other","20-24 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","First child","Citizenship of mother - total","Other","25-29 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","First child","Citizenship of mother - total","Other","30-34 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","First child","Citizenship of mother - total","Other","35-39 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","First child","Citizenship of mother - total","Other","40-44 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","First child","Citizenship of mother - total","Other","45-49 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","First child","Citizenship of mother - total","Other","50 years or more",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Second child","Citizenship of mother - total","Married","Less than 20 years",0,6,6,2,0,0,0,0,0,0,0
"2000","Boy","Second child","Citizenship of mother - total","Married","20-24 years",0,200,466,208,49,16,1,0,0,0,0
"2000","Boy","Second child","Citizenship of mother - total","Married","25-29 years",0,79,1168,1836,561,135,30,10,0,0,0
"2000","Boy","Second child","Citizenship of mother - total","Married","30-34 years",0,3,355,2983,2034,429,83,32,4,0,0
"2000","Boy","Second child","Citizenship of mother - total","Married","35-39 years",0,0,49,527,1278,556,137,44,5,1,0
"2000","Boy","Second child","Citizenship of mother - total","Married","40-44 years",0,0,7,37,100,138,48,20,0,0,0
"2000","Boy","Second child","Citizenship of mother - total","Married","45-49 years",0,0,0,0,1,1,5,2,0,0,0
"2000","Boy","Second child","Citizenship of mother - total","Married","50 years or more",0,0,0,0,0,0,0,1,0,0,0
"2000","Boy","Second child","Citizenship of mother - total","Other","Less than 20 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Second child","Citizenship of mother - total","Other","20-24 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Second child","Citizenship of mother - total","Other","25-29 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Second child","Citizenship of mother - total","Other","30-34 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Second child","Citizenship of mother - total","Other","35-39 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Second child","Citizenship of mother - total","Other","40-44 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Second child","Citizenship of mother - total","Other","45-49 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Second child","Citizenship of mother - total","Other","50 years or more",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Third child","Citizenship of mother - total","Married","Less than 20 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Third child","Citizenship of mother - total","Married","20-24 years",0,10,57,35,7,4,3,0,0,0,0
"2000","Boy","Third child","Citizenship of mother - total","Married","25-29 years",0,5,271,492,189,46,5,5,0,0,0
"2000","Boy","Third child","Citizenship of mother - total","Married","30-34 years",0,1,87,925,888,193,26,8,2,0,0
"2000","Boy","Third child","Citizenship of mother - total","Married","35-39 years",0,0,11,153,662,322,53,16,1,0,0
"2000","Boy","Third child","Citizenship of mother - total","Married","40-44 years",0,0,2,10,43,75,28,3,0,0,0
"2000","Boy","Third child","Citizenship of mother - total","Married","45-49 years",0,0,0,0,0,1,4,0,0,0,0
"2000","Boy","Third child","Citizenship of mother - total","Married","50 years or more",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Third child","Citizenship of mother - total","Other","Less than 20 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Third child","Citizenship of mother - total","Other","20-24 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Third child","Citizenship of mother - total","Other","25-29 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Third child","Citizenship of mother - total","Other","30-34 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Third child","Citizenship of mother - total","Other","35-39 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Third child","Citizenship of mother - total","Other","40-44 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Third child","Citizenship of mother - total","Other","45-49 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Third child","Citizenship of mother - total","Other","50 years or more",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Fourth child or more","Citizenship of mother - total","Married","Less than 20 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Fourth child or more","Citizenship of mother - total","Married","20-24 years",0,3,5,4,1,1,0,0,0,0,0
"2000","Boy","Fourth child or more","Citizenship of mother - total","Married","25-29 years",0,2,36,102,55,10,4,1,0,0,0
"2000","Boy","Fourth child or more","Citizenship of mother - total","Married","30-34 years",0,0,13,213,327,82,16,1,0,0,0
"2000","Boy","Fourth child or more","Citizenship of mother - total","Married","35-39 years",0,0,0,45,310,199,40,16,1,0,0
"2000","Boy","Fourth child or more","Citizenship of mother - total","Married","40-44 years",0,0,0,0,14,71,42,16,1,0,0
"2000","Boy","Fourth child or more","Citizenship of mother - total","Married","45-49 years",0,0,0,0,0,1,5,3,0,0,0
"2000","Boy","Fourth child or more","Citizenship of mother - total","Married","50 years or more",0,0,0,0,0,0,1,0,0,0,0
"2000","Boy","Fourth child or more","Citizenship of mother - total","Other","Less than 20 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Fourth child or more","Citizenship of mother - total","Other","20-24 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Fourth child or more","Citizenship of mother - total","Other","25-29 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Fourth child or more","Citizenship of mother - total","Other","30-34 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Fourth child or more","Citizenship of mother - total","Other","35-39 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Fourth child or more","Citizenship of mother - total","Other","40-44 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Fourth child or more","Citizenship of mother - total","Other","45-49 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Fourth child or more","Citizenship of mother - total","Other","50 years or more",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Mother not married","Citizenship of mother - total","Married","Less than 20 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Mother not married","Citizenship of mother - total","Married","20-24 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Mother not married","Citizenship of mother - total","Married","25-29 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Mother not married","Citizenship of mother - total","Married","30-34 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Mother not married","Citizenship of mother - total","Married","35-39 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Mother not married","Citizenship of mother - total","Married","40-44 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Mother not married","Citizenship of mother - total","Married","45-49 years",0,0,0,0,0,0,0,0,0,0,0
"2000","Boy","Mother not married","Citizenship of mother - total","Married","50 years or more",0,0,0,0,0,0,0,0,0,0,0
