gender;age;pdf;1;converted;cdf;TARGET;;AGE;TEST;1;converted;;TARGET
F;18;0.1;0.9;0.1;0.100;;M;18;0.06;0.94;0.06;0.060;
F;19;0.12;0.792;0.108;0.208;;M;19;0.08;0.8648;0.0752;0.135;
F;20;0.15;0.6732;0.1188;0.327;0.323;M;20;0.115;0.765348;0.099452;0.235;0.233
F;21;0.22;0.525096;0.148104;0.475;;M;21;0.12;0.67350624;0.09184176;0.326;
F;22;0.24;0.39907296;0.12602304;0.601;;M;22;0.13;0.585950429;0.087555811;0.414;
F;23;0.28;0.287332531;0.111740429;0.713;;M;23;0.17;0.486338856;0.099611573;0.514;
F;24;0.32;0.195386121;0.09194641;0.805;;M;24;0.19;0.393934473;0.092404383;0.606;
F;25;0.33;0.130908701;0.06447742;0.869;0.825;M;25;0.2;0.315147579;0.078786895;0.685;0.68
F;26;0.29;0.092945178;0.037963523;0.907;;M;26;0.21;0.248966587;0.066180992;0.751;
F;27;0.28;0.066920528;0.02602465;0.933;;M;27;0.21;0.196683604;0.052282983;0.803;
F;28;0.26;0.049521191;0.017399337;0.950;;M;28;0.2;0.157346883;0.039336721;0.843;
F;29;0.23;0.038131317;0.011389874;0.962;;M;29;0.19;0.127450975;0.029895908;0.873;
F;30;0.2;0.030505054;0.007626263;0.969;0.969;M;30;0.18;0.1045098;0.022941176;0.895;0.896
