"Year","Birth order","Age class of mother","Age class of father","Live births"
"2000","First child","Less than 20 years","Less than 20 years",19
"2000","First child","Less than 20 years","20-24 years",214
"2000","First child","Less than 20 years","25-29 years",92
"2000","First child","Less than 20 years","30-34 years",36
"2000","First child","Less than 20 years","35-39 years",10
"2000","First child","Less than 20 years","40-44 years",1
"2000","First child","Less than 20 years","45-49 years",1
"2000","First child","Less than 20 years","50-59 years",3
"2000","First child","Less than 20 years","60-69 years",2
"2000","First child","Less than 20 years","70 years or more",0
"2000","First child","Less than 20 years","Unknown",0
"2000","First child","20-24 years","Less than 20 years",21
"2000","First child","20-24 years","20-24 years",1480
"2000","First child","20-24 years","25-29 years",2119
"2000","First child","20-24 years","30-34 years",843
"2000","First child","20-24 years","35-39 years",271
"2000","First child","20-24 years","40-44 years",67
"2000","First child","20-24 years","45-49 years",22
"2000","First child","20-24 years","50-59 years",9
"2000","First child","20-24 years","60-69 years",1
"2000","First child","20-24 years","70 years or more",2
"2000","First child","20-24 years","Unknown",0
"2000","First child","25-29 years","Less than 20 years",1
"2000","First child","25-29 years","20-24 years",331
"2000","First child","25-29 years","25-29 years",3994
"2000","First child","25-29 years","30-34 years",4747
"2000","First child","25-29 years","35-39 years",1366
"2000","First child","25-29 years","40-44 years",379
"2000","First child","25-29 years","45-49 years",112
"2000","First child","25-29 years","50-59 years",55
"2000","First child","25-29 years","60-69 years",7
"2000","First child","25-29 years","70 years or more",1
"2000","First child","25-29 years","Unknown",0
"2000","First child","30-34 years","Less than 20 years",0
"2000","First child","30-34 years","20-24 years",55
"2000","First child","30-34 years","25-29 years",1172
"2000","First child","30-34 years","30-34 years",5339
"2000","First child","30-34 years","35-39 years",3068
"2000","First child","30-34 years","40-44 years",825
"2000","First child","30-34 years","45-49 years",212
"2000","First child","30-34 years","50-59 years",101
"2000","First child","30-34 years","60-69 years",13
"2000","First child","30-34 years","70 years or more",2
"2000","First child","30-34 years","Unknown",0
"2000","First child","35-39 years","Less than 20 years",0
"2000","First child","35-39 years","20-24 years",10
"2000","First child","35-39 years","25-29 years",181
"2000","First child","35-39 years","30-34 years",906
"2000","First child","35-39 years","35-39 years",1547
"2000","First child","35-39 years","40-44 years",749
"2000","First child","35-39 years","45-49 years",231
"2000","First child","35-39 years","50-59 years",113
"2000","First child","35-39 years","60-69 years",10
"2000","First child","35-39 years","70 years or more",1
"2000","First child","35-39 years","Unknown",0
