Year;Year of birth of woman;Age exact years;0 (No children);1;2;3;4 or more
1940;1920;20;93,4;5,8;0,7;0,1;0
1941;1921;20;93,4;5,8;0,7;0,1;0
1942;1922;20;93,6;5,7;0,6;0,1;0
1943;1923;20;93,5;5,8;0,6;0,1;0
1944;1924;20;93,3;6;0,6;0,1;0
1945;1925;20;93,1;6,2;0,6;0,1;0
1946;1926;20;92,9;6,4;0,6;0,1;0
1947;1927;20;92,6;6,7;0,6;0,1;0
1948;1928;20;91,6;7,6;0,7;0,1;0
1949;1929;20;90,9;8,1;0,9;0,1;0
1950;1930;20;90,8;8,1;1;0,1;0
1951;1931;20;90,9;7,8;1,2;0,1;0
1952;1932;20;90,9;7,8;1,2;0,1;0
1953;1933;20;90,8;7,9;1,1;0,2;0
1954;1934;20;90,6;8;1,3;0,1;0
1955;1935;20;90,5;8,1;1,2;0,2;0
1956;1936;20;90,1;8,4;1,4;0,1;0
1957;1937;20;89,6;8,8;1,4;0,2;0
1958;1938;20;88,7;9,4;1,7;0,2;0
1959;1939;20;87,8;10,2;1,8;0,2;0
1960;1940;20;87;10,6;2,1;0,3;0
1961;1941;20;85,8;11,5;2,4;0,3;0
1962;1942;20;85,7;11,5;2,5;0,3;0
1963;1943;20;84,8;12,1;2,7;0,4;0
1964;1944;20;84;12,3;3,2;0,5;0
1965;1945;20;82,9;13,1;3,5;0,5;0
1966;1946;20;82,6;13,3;3,6;0,5;0
1967;1947;20;82,9;13,1;3,5;0,5;0
1968;1948;20;82,4;13,5;3,6;0,4;0,1
1969;1949;20;81,9;14;3,6;0,4;0,1
1970;1950;20;81,5;14,3;3,7;0,4;0,1
1971;1951;20;80,9;14,8;3,8;0,4;0,1
1972;1952;20;80,3;15,2;4,1;0,3;0,1
1973;1953;20;80,7;14,9;4;0,4;0
1974;1954;20;81,5;14,3;3,8;0,4;0
1975;1955;20;82,3;13,7;3,6;0,4;0
1976;1956;20;83,6;12,7;3,4;0,3;0
1977;1957;20;84,7;11,9;3,1;0,3;0
1978;1958;20;86,2;11;2,5;0,3;0
1979;1959;20;87,2;10,2;2,4;0,2;0
1980;1960;20;87,4;10,1;2,3;0,2;0
1981;1961;20;87,3;10,2;2,2;0,3;0
1982;1962;20;87,7;9,8;2,3;0,2;0
1983;1963;20;88,3;9,4;2,1;0,2;0
1984;1964;20;88,9;9,1;1,8;0,2;0
1985;1965;20;89,1;8,9;1,8;0,2;0
1986;1966;20;88,8;9,1;1,9;0,2;0
1987;1967;20;88,3;9,6;1,9;0,2;0
1988;1968;20;87,7;10,1;2;0,2;0
1989;1969;20;87,3;10,5;1,9;0,3;0
1990;1970;20;87,1;10,8;1,8;0,3;0
1991;1971;20;87,2;10,6;2;0,2;0
1992;1972;20;87,1;10,7;1,9;0,3;0
1993;1973;20;87,2;10,6;1,9;0,3;0
1994;1974;20;87,6;10,1;2;0,3;0
1995;1975;20;88;9,7;2;0,3;0
1996;1976;20;88;9,7;2;0,2;0,1
1997;1977;20;87,6;10,2;1,9;0,3;0
1998;1978;20;87,5;10,3;1,9;0,3;0
1999;1979;20;87,1;10,8;1,9;0,2;0
2000;1980;20;87;10,9;1,8;0,3;0
2001;1981;20;86,9;11,1;1,7;0,3;0
2002;1982;20;87,3;10,6;1,9;0,2;0
2003;1983;20;88;9,9;1,9;0,2;0
2004;1984;20;88,4;9,5;1,9;0,2;0
2005;1985;20;88,7;9,2;1,9;0,2;0
2006;1986;20;88,7;9,2;1,9;0,2;0
2007;1987;20;88,8;9,1;1,9;0,2;0
2008;1988;20;89;9;1,8;0,2;0
2009;1989;20;89,1;8,9;1,8;0,2;0
2010;1990;20;89,4;8,6;1,8;0,2;0
2011;1991;20;90;8,2;1,6;0,2;0
2012;1992;20;90,7;7,6;1,5;0,2;0
2013;1993;20;91,4;6,9;1,5;0,2;0
2014;1994;20;92,6;5,6;1,6;0,2;0
2015;1995;20;93,3;4,9;1,6;0,2;0
2016;1996;20;93,9;4,5;1,4;0,2;0
2017;1997;20;94,2;4,4;1,3;0,1;0
2018;1998;20;94,5;4,4;1;0,1;0
2019;1999;20;94,8;4,2;0,9;0,1;0
2020;2000;20;95;4,2;0,7;0,1;0
2021;2001;20;95,4;3,9;0,6;0,1;0
2022;2002;20;96;3,4;0,6;0;0
2023;2003;20;96,2;3,2;0,6;0;0
2024;2004;20;96,3;3,2;0,5;0;0
1941;1920;21;88,8;9,3;1,7;0,2;0
1942;1921;21;88,5;9,7;1,6;0,2;0
1943;1922;21;88,3;10;1,5;0,2;0
1944;1923;21;88,2;10,1;1,5;0,2;0
1945;1924;21;87,7;10,6;1,5;0,2;0
1946;1925;21;87,6;10,7;1,5;0,2;0
1947;1926;21;86,9;11,3;1,6;0,2;0
1948;1927;21;85,4;12,6;1,8;0,2;0
1949;1928;21;84,6;13;2,1;0,3;0
1950;1929;21;83,9;13,4;2,4;0,3;0
1951;1930;21;84,1;13;2,6;0,3;0
