hid,wp,age,gender,marital_status,employment,driving_licence,age_discrete,htype,hsize,nbcars,nbcars_agg,role
413499,0.1781969042974,53,1,2,1,1,5,210,2,2,2,1
221928,1.12981275598874,17,2,1,3,2,2,230,3,1,1,3
409616,1.07056579969111,80,2,3,4,2,6,10,1,0,0,1
221734,1.16747437599776,81,2,2,4,1,6,210,2,1,1,1
110898,0.63098613185202,72,1,2,4,1,6,210,2,1,1,2
406850,0.66796916861602,67,2,2,4,2,6,210,2,1,1,2
401665,2.10274136435073,36,2,2,1,1,4,220,4,2,2,2
429723,1.54094709728366,48,1,2,1,1,5,220,3,1,1,1
211629,1.98285874183807,60,2,2,1,1,5,210,2,1,1,2
326835,0.69163793877619,60,1,2,4,1,5,210,2,1,1,1
302301,0.82466011691008,44,2,4,2,1,5,30,4,3,3,2
314702,0.9665930676849,13,1,1,5,2,1,220,4,1,1,4
303312,1.11735256551189,55,1,2,1,1,5,220,4,2,2,1
328273,1.3466902199235,47,1,1,1,1,5,230,2,2,2,1
513800,2.25669890680893,34,1,2,1,1,4,210,2,1,1,2
400749,0.72089827573332,10,2,1,5,2,1,220,4,2,2,4
427909,0.73013294392438,49,2,2,1,1,5,220,4,3,3,2
414987,2.62605510855029,28,1,1,1,1,4,30,3,2,2,3
203177,1.26755676955972,68,1,2,4,1,6,210,2,1,1,2
207977,1.50979412441335,18,1,1,3,2,3,220,5,1,1,3
211583,1.58661825578283,37,1,2,1,1,4,220,4,1,1,2
515437,0.99302109214722,66,1,2,4,1,6,210,2,2,2,1
218341,0.78788460665819,65,1,2,4,1,6,210,2,1,1,1
512425,1.542609122804,31,2,2,2,1,4,220,4,1,1,2
314832,1.25651284972391,76,2,2,4,2,6,210,2,0,0,2
108416,0.50104774764692,63,2,1,1,1,5,10,1,0,0,1
420954,1.04635450730524,71,1,2,4,1,6,210,2,2,2,1
222470,2.06248739893396,67,1,2,4,1,6,220,3,1,1,1
223366,0.29268551537278,70,1,2,4,1,6,210,2,1,1,1
223494,0.5858175176417,13,1,1,5,2,1,220,5,2,2,3
314981,0.97737030833388,76,2,2,4,2,6,210,2,1,1,1
501156,2.54825602988942,44,2,2,1,1,5,220,4,1,1,2
302132,1.30183186824731,44,1,2,1,1,5,220,5,2,2,1
411751,2.10813373829551,46,1,2,1,1,5,220,5,4,4,1
322235,2.75082544133346,58,1,2,1,1,5,220,5,3,3,1
514890,2.64076087050302,38,1,1,1,1,4,210,2,1,1,2
428880,0.38628783606447,60,2,3,1,2,5,10,1,0,0,1
423320,0.36966327198285,59,2,4,1,1,5,10,1,1,1,1
401610,1.28262331548437,42,1,2,1,1,4,220,4,1,1,2
424302,1.71176535491684,22,2,1,2,1,3,220,4,2,2,4
317683,0.94448825430275,51,1,2,1,1,5,220,3,1,1,2
227473,1.23102946999531,40,1,2,1,1,4,220,3,2,2,1
428238,0.73121722155811,39,2,2,2,1,4,220,3,1,1,1
424450,1.34152476298058,33,1,2,1,1,4,220,3,1,1,2
110861,0.92208413538741,18,2,1,3,2,3,220,5,1,1,3
229594,1.51456921412947,64,1,4,2,2,5,10,1,0,0,1
402105,1.28173731093491,45,1,2,1,1,5,220,6,2,2,2
403854,0.83759808455572,40,2,2,2,1,4,220,4,2,2,1
321613,0.31756006623185,36,1,2,1,1,4,220,4,3,3,1
319872,2.202611227091,21,1,1,3,1,3,220,5,5,5,3
227975,2.31061069282138,80,2,3,4,2,6,10,1,0,0,1
515210,1.05544663586712,13,2,1,5,2,1,220,5,1,1,5
100597,0.83599792320954,62,2,2,1,2,5,210,2,1,1,2
205112,1.14971418116202,47,2,1,1,1,5,220,4,0,0,2
220424,2.25710934618624,45,2,2,1,1,5,230,3,1,1,1
429433,0.51507996636872,53,1,2,1,1,5,30,4,2,2,2
305288,0.96025868271678,40,1,1,1,1,4,220,4,1,1,2
511353,0.75051079342675,68,2,2,4,2,6,210,2,1,1,2
419126,0.64812305016997,75,1,2,4,1,6,30,2,1,1,1
306594,1.14987033899975,75,1,2,4,1,6,210,2,1,1,1
323134,0.47514699284251,68,1,2,4,1,6,210,2,1,1,1
222038,0.98092645205178,41,2,2,2,2,4,220,4,0,0,2
229871,0.30519373383619,75,1,1,4,1,6,10,1,1,1,1
223726,2.05962976612725,58,1,2,1,1,5,220,4,3,3,1
510563,2.68270656168974,29,1,2,1,1,4,220,4,1,1,1
218767,2.30014328684875,31,2,2,1,2,4,220,3,1,1,1
403483,1.05664444422921,37,1,2,1,1,4,220,3,2,2,2
221437,2.77165757539552,56,2,4,1,1,5,230,3,2,2,1
307139,2.97423600980062,48,2,4,1,1,5,230,3,1,1,1
101602,0.46223646440456,73,1,2,4,1,6,210,2,1,1,1
510412,1.44378419028883,82,2,2,4,1,6,210,2,1,1,2
403317,0.88965460198949,18,2,1,1,2,3,30,2,0,0,2
427194,1.60545909851263,47,1,2,1,1,5,220,4,1,1,1
208645,0.95012057356756,57,1,2,1,1,5,210,2,1,1,1
216723,1.79642889508433,34,1,1,1,1,4,210,2,2,2,1
212072,1.5794886535865,53,2,4,1,1,5,220,4,4,4,1
103057,1.37105411925122,45,1,1,2,1,5,220,4,2,2,1
326692,1.00148111740666,16,1,1,1,2,2,220,4,2,2,4
