hid,wp,age,gender,marital_status,employment,driving_licence,age_discrete,htype,hsize,nbcars,nbcars_agg,role
110001,1.6069244265,57,1,4,1,1,5,210,2,2,2,2
110008,0.6558759848,57,1,2,2,1,5,220,3,1,1,1
110011,0.2794617955,16,2,1,1,2,2,220,4,2,2,3
110024,0.7464319615,17,2,1,1,2,2,220,4,0,0,4
110026,0.5250009972,53,2,1,2,1,5,10,1,0,0,1
110027,0.8607336179,61,1,2,1,1,5,220,3,3,3,1
110028,0.2941985778,42,1,2,1,1,4,220,3,1,1,1
110034,1.1874711291,29,2,1,1,1,4,210,2,2,2,2
110037,0.6973223694,43,1,2,2,1,4,220,3,1,1,1
110038,0.3963170061,16,1,1,1,2,2,220,5,3,3,4
110039,0.8912564334,59,1,2,1,1,5,210,2,1,1,1
110041,1.0930339158,60,2,4,1,1,5,210,2,1,1,2
110044,1.8825781374,43,2,2,3,1,4,220,4,1,1,1
110048,3.5805902016,51,1,2,1,1,5,220,3,1,1,1
110052,0.7519296338,9,1,1,5,2,1,220,4,0,0,3
110057,0.6131694759,50,2,2,1,1,5,220,3,1,1,2
110058,0.4987518172,46,2,2,1,1,5,220,4,1,1,2
110059,0.4659119478,39,1,2,1,1,4,220,4,1,1,1
110062,2.0195039838,66,1,2,4,1,6,210,2,1,1,1
110064,0.4520369814,40,1,1,1,2,4,230,2,1,1,2
110072,1.8645897487,55,2,2,1,1,5,210,2,2,2,2
110073,0.3366365043,48,2,2,2,1,5,220,3,2,2,2
110074,1.6937301562,21,1,1,1,1,3,230,4,1,1,3
110075,1.4352624416,21,1,1,3,1,3,230,3,1,1,3
110081,1.9437053195,16,2,1,1,2,2,220,4,2,2,3
110099,0.758343538,57,1,2,1,1,5,10,1,1,1,1
110105,2.1241024734,36,2,2,1,1,4,220,4,2,2,2
110111,1.2962848798,19,2,1,1,1,3,230,2,1,1,2
110112,0.6217078841,62,2,2,1,1,5,220,3,1,1,2
110113,0.6809944595,71,2,2,4,1,6,210,2,2,2,2
110121,0.8278644673,34,2,2,1,1,4,220,3,2,2,2
110123,0.3796328812,65,1,2,4,1,6,210,2,1,1,1
110125,2.2751572434,18,1,1,1,1,3,220,5,1,1,3
110127,1.6835413795,23,2,1,1,1,3,210,2,2,2,2
110129,0.3434777039,18,1,1,1,2,3,220,6,1,1,3
110131,0.8541543262,31,2,2,1,1,4,220,4,3,3,2
110133,1.0792358379,49,1,2,1,1,5,210,2,2,2,2
110137,1.0605264489,87,1,2,4,1,6,30,2,2,2,1
110138,0.7405129245,53,1,1,1,1,5,10,1,1,1,1
110141,0.7661568478,43,2,2,1,1,4,220,4,1,1,2
110143,0.6813429684,64,2,4,4,1,5,10,1,1,1,1
110145,0.6346300322,51,1,2,1,1,5,10,1,1,1,1
110147,0.9690752059,71,2,2,4,1,6,210,2,1,1,1
110149,0.3120510672,55,2,2,1,1,5,210,2,2,2,2
110151,1.7639341434,37,1,1,2,1,4,220,3,0,0,3
110152,1.8286155098,28,2,1,1,1,4,30,2,1,1,1
110153,4.3760701525,33,1,1,1,1,4,10,1,1,1,1
110157,0.3575993132,72,1,2,1,1,6,210,2,2,2,1
110161,0.4963682311,8,1,1,5,2,1,230,2,1,1,2
110162,0.7371176441,16,1,1,1,2,2,220,5,0,0,3
110163,0.6505469264,22,2,1,1,1,3,220,4,3,3,3
110164,0.9137115266,31,2,2,2,2,4,220,5,1,1,2
110172,0.2527136462,37,1,2,1,1,4,220,4,2,2,1
110174,0.4033519207,44,2,2,1,1,5,210,2,2,2,1
110176,0.2880280014,17,2,1,1,2,2,220,5,2,2,3
110181,1.8069768775,86,2,2,4,2,6,210,2,0,0,2
110184,0.6437608062,16,2,1,1,2,2,220,5,3,3,4
110186,1.9818734807,19,2,1,1,2,3,230,2,0,0,2
110187,0.4700737445,68,1,2,4,1,6,210,2,1,1,1
110192,0.8528366057,48,2,2,1,1,5,220,3,2,2,2
110197,2.1279184092,31,2,1,1,1,4,220,4,2,2,2
110202,1.7862961364,55,2,4,1,1,5,230,2,4,4,1
110208,2.8252507826,66,1,1,4,2,6,10,1,0,0,1
110209,1.2549601535,41,2,2,2,1,4,210,2,1,1,2
110211,1.2372697763,61,1,2,2,1,5,220,3,2,2,1
110218,0.4122700213,66,2,2,4,1,6,210,2,2,2,1
110221,0.4473693463,64,2,2,4,1,5,210,2,2,2,1
110222,2.7300477289,40,2,1,1,1,4,230,2,2,2,2
110224,1.0062597188,19,2,1,1,2,3,220,3,2,2,3
110226,1.9331969068,18,1,1,1,2,3,230,2,1,1,2
110232,0.6226241132,14,2,1,5,2,1,220,5,2,2,3
110233,0.5704717388,53,1,2,1,2,5,210,2,0,0,2
110234,0.7070365504,74,2,3,4,1,6,10,1,0,0,1
110237,1.7444444374,6,1,1,5,2,1,220,4,2,2,3
110245,2.3793591578,29,1,1,1,1,4,10,1,0,0,1
110248,0.6358429727,19,1,1,3,2,3,220,4,2,2,4
110253,3.0103524804,31,1,1,1,1,4,210,2,2,2,2
110256,0.6654316339,65,1,2,4,1,6,210,2,1,1,1
110257,1.5887750137,46,2,1,1,1,5,230,2,1,1,1
110259,0.5040282271,57,2,2,1,1,5,210,2,2,2,2
110262,0.4980070768,45,1,2,1,1,5,220,4,1,1,1
110264,0.5399857039,51,1,1,1,1,5,220,4,1,1,1
110266,0.6390455698,50,2,1,1,1,5,210,2,1,1,2
110268,0.5363496789,70,2,4,4,1,6,10,1,1,1,1
110269,0.9436329688,72,1,1,4,1,6,10,1,1,1,1
110271,0.4146128831,78,2,4,4,2,6,230,2,1,1,1
110272,1.14765596,40,1,2,1,1,4,220,3,1,1,1
110275,0.4495148768,57,2,1,1,1,5,10,1,1,1,1
110277,0.8684028352,67,2,2,4,1,6,210,2,1,1,1
110278,2.1185999515,56,1,1,1,1,5,10,1,0,0,1
110279,0.7692685702,43,2,2,1,1,4,220,4,1,1,2
110281,0.5085185396,67,2,4,4,1,6,210,2,2,2,1
110284,0.8472124722,54,1,2,1,1,5,220,3,1,1,1
110286,1.3709936462,61,2,4,1,1,5,10,1,1,1,1
110288,0.3945797891,66,1,2,1,1,6,10,1,1,1,1
110296,1.8870367209,36,2,1,1,1,4,10,1,0,0,1
110297,1.2349801361,87,2,3,4,2,6,10,1,0,0,1
110302,0.930176223,61,2,2,4,1,5,210,2,1,1,2
110305,0.4171528377,54,2,2,1,1,5,210,2,2,2,2
110308,1.1317357872,77,1,2,1,1,6,210,2,3,3,1
110321,1.2623575146,55,1,1,1,2,5,10,1,0,0,1
110325,1.2170764876,9,1,1,5,2,1,220,3,1,1,3
110327,1.0451875044,12,1,1,5,2,1,220,5,1,1,5
110328,1.2662283957,27,2,1,1,1,4,210,2,1,1,2
110337,0.8385279654,66,2,1,1,1,6,210,2,1,1,1
110341,0.3650602321,77,2,1,4,1,6,10,1,0,0,1
110343,0.762136336,52,1,4,1,2,5,210,2,1,1,1
110345,1.0231231761,20,2,1,3,2,3,10,1,0,0,1
110352,0.5016148344,13,1,1,5,2,1,220,5,1,1,4
110353,0.9036486404,49,2,2,1,1,5,220,5,1,1,1
110355,0.751906427,57,2,3,2,1,5,10,1,1,1,1
110356,0.2263485112,45,2,2,1,1,5,220,5,2,2,2
110358,2.4852128747,43,2,2,1,1,4,230,3,1,1,1
110359,0.6861643552,12,1,1,5,2,1,220,3,1,1,3
110362,0.6615509451,72,2,3,4,2,6,10,1,0,0,1
110365,0.6949082657,8,2,1,5,2,1,230,2,0,0,2
110366,0.8677386526,49,1,2,1,1,5,220,4,3,3,1
110367,0.9984524891,30,1,1,1,1,4,220,3,2,2,1
110369,0.4296137901,62,1,2,2,1,5,220,4,1,1,1
110373,0.9657367151,58,1,2,2,1,5,10,1,1,1,1
110375,0.3628022248,56,1,2,1,1,5,220,8,2,2,1
110381,0.6706266574,33,2,1,1,1,4,10,1,1,1,1
110382,0.9892996987,92,1,2,4,2,6,210,2,1,1,1
110388,1.1243588157,10,1,1,5,2,1,220,4,2,2,3
110393,1.8968187075,72,2,1,4,2,6,10,1,0,0,1
110396,1.7300587248,61,1,1,1,1,5,10,1,1,1,1
110401,0.6048718134,73,2,2,4,1,6,210,2,1,1,2
110403,0.35973484,70,2,2,4,1,6,210,2,1,1,2
110405,0.913775053,58,1,2,1,1,5,220,3,2,2,1
110409,0.9961949796,27,1,1,3,2,4,30,3,0,0,1
110413,1.8581379884,39,1,2,2,1,4,220,5,1,1,1
110414,0.5332973272,60,2,1,2,1,5,10,1,1,1,1
110418,0.6720550445,54,2,2,1,1,5,220,4,1,1,1
110421,2.0400071034,45,2,2,1,2,5,30,5,2,2,3
110422,0.8274459536,17,1,1,3,2,2,220,5,2,2,4
110423,0.5985998616,30,2,2,1,1,4,220,3,1,1,2
110424,0.7609231989,72,1,2,4,1,6,210,2,1,1,1
