Year;Woman YOB;Age;0 (No children);1;2;3;4 or more
2024;2004;20;96,30;3,20;0,50;0,00;0,00
2011;1991;20;90,00;8,20;1,60;0,20;0,00
2012;1992;20;90,70;7,60;1,50;0,20;0,00
2013;1993;20;91,40;6,90;1,50;0,20;0,00
2014;1994;20;92,60;5,60;1,60;0,20;0,00
2015;1995;20;93,30;4,90;1,60;0,20;0,00
2016;1996;20;93,90;4,50;1,40;0,20;0,00
2017;1997;20;94,20;4,40;1,30;0,10;0,00
2018;1998;20;94,50;4,40;1,00;0,10;0,00
2019;1999;20;94,80;4,20;0,90;0,10;0,00
2020;2000;20;95,00;4,20;0,70;0,10;0,00
2021;2001;20;95,40;3,90;0,60;0,10;0,00
2022;2002;20;96,00;3,40;0,60;0,00;0,00
2023;2003;20;96,20;3,20;0,60;0,00;0,00
2024;2003;21;94,10;4,80;1,00;0,10;0,00
2024;2002;22;91,70;6,30;1,70;0,30;0,00
2011;1990;21;85,40;10,80;3,30;0,50;0,00
2012;1991;21;86,40;10,10;3,10;0,40;0,00
2013;1992;21;87,50;9,10;2,90;0,50;0,00
2014;1993;21;88,50;8,40;2,60;0,50;0,00
2015;1994;21;89,90;7,00;2,70;0,40;0,00
2016;1995;21;90,60;6,40;2,60;0,40;0,00
2017;1996;21;91,20;6,20;2,30;0,30;0,00
2018;1997;21;91,50;6,20;2,00;0,30;0,00
2019;1998;21;92,00;6,00;1,80;0,20;0,00
2020;1999;21;92,30;6,00;1,50;0,20;0,00
2021;2000;21;92,60;5,90;1,30;0,20;0,00
2022;2001;21;93,30;5,30;1,30;0,10;0,00
2023;2002;21;93,90;4,90;1,10;0,10;0,00
2024;2001;23;88,50;8,10;2,90;0,40;0,10
2024;2000;24;85,20;9,60;4,20;0,80;0,20
2011;1989;22;81,00;12,90;5,20;0,80;0,10
2012;1990;22;81,60;12,60;4,90;0,80;0,10
2013;1991;22;83,20;11,20;4,70;0,80;0,10
2014;1992;22;84,50;10,20;4,30;0,90;0,10
2015;1993;22;85,70;9,40;4,00;0,80;0,10
2016;1994;22;87,00;8,30;3,90;0,70;0,10
2017;1995;22;87,70;7,90;3,70;0,60;0,10
2018;1996;22;88,40;7,70;3,30;0,50;0,10
2019;1997;22;88,90;7,60;3,00;0,40;0,10
2020;1998;22;89,40;7,50;2,60;0,40;0,10
2021;1999;22;89,80;7,50;2,30;0,30;0,10
2022;2000;22;90,30;7,20;2,10;0,40;0,00
2023;2001;22;91,00;6,70;2,00;0,30;0,00
2024;1999;25;81,90;11,00;5,50;1,30;0,30
2024;1998;26;78,00;12,40;7,30;1,80;0,50
2011;1988;23;76,70;14,50;7,20;1,40;0,20
2012;1989;23;77,00;14,30;7,10;1,40;0,20
2013;1990;23;78,20;13,30;6,80;1,50;0,20
2014;1991;23;80,20;11,90;6,30;1,40;0,20
2015;1992;23;81,60;11,00;5,80;1,40;0,20
2016;1993;23;82,80;10,30;5,40;1,30;0,20
2017;1994;23;84,10;9,40;5,20;1,10;0,20
2018;1995;23;84,80;9,00;5,10;0,90;0,20
2019;1996;23;85,60;8,90;4,50;0,90;0,10
2020;1997;23;86,10;8,90;4,20;0,70;0,10
2021;1998;23;86,90;8,70;3,60;0,70;0,10
2022;1999;23;87,40;8,50;3,40;0,60;0,10
2023;2000;23;87,80;8,40;3,20;0,50;0,10
2024;1997;27;73,40;14,10;9,20;2,50;0,80
2024;1996;28;68,60;15,30;11,60;3,40;1,10
2011;1987;24;72,40;15,50;9,70;2,00;0,40
2012;1988;24;72,80;15,30;9,50;2,00;0,40
2013;1989;24;73,60;14,80;8,90;2,20;0,50
2014;1990;24;75,10;13,80;8,50;2,10;0,50
2015;1991;24;77,20;12,50;7,80;2,10;0,40
2016;1992;24;78,70;11,60;7,40;1,90;0,40
2017;1993;24;79,80;11,20;6,90;1,70;0,40
2018;1994;24;81,20;10,30;6,60;1,60;0,30
2019;1995;24;81,90;10,10;6,40;1,30;0,30
2020;1996;24;82,80;10,00;5,70;1,20;0,30
2021;1997;24;83,30;10,20;5,20;1,10;0,20
2022;1998;24;84,20;9,80;4,80;1,00;0,20
2023;1999;24;84,70;9,80;4,40;0,90;0,20
2024;1995;29;63,40;16,60;14,10;4,30;1,60
2024;1994;30;58,10;18,10;16,30;5,40;2,10
2011;1986;25;68,40;16,80;11,30;3,00;0,50
2012;1987;25;68,10;16,90;11,50;3,00;0,50
2013;1988;25;69,00;15,80;11,50;3,00;0,70
2014;1989;25;70,20;15,20;10,70;3,10;0,80
2015;1990;25;71,80;14,30;10,20;2,90;0,80
2016;1991;25;73,90;13,10;9,60;2,70;0,70
2017;1992;25;75,40;12,50;8,90;2,60;0,60
2018;1993;25;76,60;12,00;8,50;2,30;0,60
2019;1994;25;78,00;11,40;8,00;2,10;0,50
2020;1995;25;78,80;11,10;7,80;1,90;0,40
2021;1996;25;79,70;11,20;7,10;1,60;0,40
2022;1997;25;80,40;11,20;6,50;1,50;0,40
2023;1998;25;81,20;11,10;6,00;1,40;0,30
2024;1993;31;52,00;19,50;19,10;6,70;2,70
2024;1992;32;46,30;20,40;22,10;7,80;3,40
2011;1985;26;64,70;17,50;13,00;3,90;0,90
2012;1986;26;64,20;17,70;13,30;3,90;0,90
2013;1987;26;64,30;17,20;13,50;4,00;1,00
2014;1988;26;65,40;16,10;13,40;3,90;1,20
2015;1989;26;66,60;15,60;12,60;4,00;1,20
2016;1990;26;68,20;14,80;12,00;3,90;1,10
2017;1991;26;70,30;13,90;11,30;3,50;1,00
2018;1992;26;71,80;13,50;10,60;3,20;0,90
2019;1993;26;73,00;13,20;10,00;2,90;0,90
2020;1994;26;74,60;12,50;9,50;2,70;0,70
2021;1995;26;75,30;12,50;9,20;2,30;0,70
2022;1996;26;76,40;12,30;8,50;2,20;0,60
2023;1997;26;77,00;12,60;7,90;1,90;0,60
2024;1991;33;40,60;20,70;25,30;9,30;4,10
2024;1990;34;34,40;21,00;28,60;10,90;5,10
2011;1984;27;60,00;18,90;14,70;5,10;1,30
2012;1985;27;60,10;18,80;14,70;5,20;1,20
2013;1986;27;60,20;18,20;15,20;5,00;1,40
2014;1987;27;60,50;17,50;15,40;5,00;1,60
2015;1988;27;61,50;16,60;15,20;5,00;1,70
2016;1989;27;62,80;16,00;14,50;5,00;1,70
2017;1990;27;64,20;15,60;13,90;4,70;1,60
2018;1991;27;66,40;14,80;13,10;4,30;1,40
2019;1992;27;68,00;14,60;12,20;4,00;1,20
2020;1993;27;69,20;14,40;11,60;3,60;1,20
2021;1994;27;70,90;13,80;11,00;3,30;1,00
2022;1995;27;71,60;13,70;10,80;3,00;0,90
2023;1996;27;72,70;13,60;10,00;2,80;0,90
2024;1989;35;30,30;20,10;31,40;12,10;6,10
2024;1988;36;26,50;19,10;34,50;13,10;6,80
2011;1983;28;55,20;20,50;16,20;6,40;1,70
