person_id,birth,gender,primary_hh,death
0,1970,M,5717131.0,9999
1,1970,M,5717132.0,9999
2,1971,F,5717133.0,9999
3,1971,M,5717134.0,9999
4,2002,F,100004.0,9999
5,2005,F,100004.0,9999
6,1974,M,5717137.0,9999
7,1974,M,5717138.0,9999
8,1978,F,5717139.0,9999
9,1978,F,5717140.0,9999
10,2007,M,100005.0,9999
11,2007,M,620952.0,9999
12,2009,M,100005.0,9999
13,2009,M,620952.0,9999
14,1967,M,5717145.0,9999
15,1973,F,5717146.0,9999
16,2010,M,100008.0,9999
17,1919,F,5717148.0,2010
18,1919,F,5717149.0,2013
19,1927,F,5717150.0,2014
20,1945,M,5717151.0,9999
21,1945,M,5717152.0,2025
22,1945,M,5717153.0,9999
23,1945,M,5717154.0,9999
24,1956,F,5717155.0,2021
25,1956,F,5717156.0,9999
26,1956,F,5717157.0,2024
27,1956,F,5717158.0,9999
28,1961,M,5717159.0,9999
29,1961,M,5717160.0,9999
30,1964,F,5717161.0,9999
31,1964,F,5717162.0,9999
32,1996,F,100019.0,9999
33,1996,F,620966.0,9999
34,2002,F,100019.0,9999
35,2002,F,620966.0,9999
36,1970,F,5717167.0,9999
37,1970,F,5717168.0,9999
38,1970,M,5717169.0,9999
39,1970,M,5717170.0,9999
40,2008,M,100026.0,9999
41,2008,M,620973.0,9999
42,1965,M,5717173.0,9999
43,1968,F,5717174.0,9999
44,2007,F,100029.0,9999
45,1963,F,5717176.0,9999
46,1963,M,5717177.0,9999
47,1979,M,5717178.0,9999
48,1979,M,5717179.0,9999
49,1958,F,5717180.0,9999
50,1960,M,5717181.0,9999
51,1971,F,5717182.0,9999
52,1998,M,100044.0,9999
53,2000,M,100044.0,9999
54,1952,F,5717185.0,9999
55,1955,M,5717186.0,2024
56,1945,M,5717187.0,9999
57,1952,F,5717188.0,9999
58,1935,M,5717189.0,2023
59,1936,F,5717190.0,9999
60,1967,M,5717191.0,9999
61,1967,M,5717192.0,9999
62,1968,F,5717193.0,9999
63,1968,F,5717194.0,9999
64,1992,M,100050.0,9999
65,1992,M,620997.0,9999
66,1998,F,100050.0,9999
67,1998,F,620997.0,9999
68,1942,M,5717199.0,9999
69,1945,F,5717200.0,9999
70,1953,M,5717201.0,9999
71,1953,M,5717202.0,9999
72,1954,F,5717203.0,9999
73,1954,F,5717204.0,2012
74,1977,M,5717205.0,9999
75,1977,M,5717206.0,9999
76,1984,F,5717207.0,9999
77,1984,F,5717208.0,9999
78,2007,M,100058.0,9999
79,2007,M,621005.0,9999
80,1943,F,5717211.0,9999
81,1962,M,5717212.0,9999
82,1964,F,5717213.0,9999
83,1985,M,100063.0,9999
84,1990,F,100063.0,9999
85,1952,F,5717216.0,9999
86,1965,F,5717217.0,9999
87,1970,M,5717218.0,9999
88,1997,M,100068.0,9999
89,1999,F,100068.0,9999
90,1929,F,5717221.0,2015
91,1966,F,5717222.0,9999
92,1991,M,100074.0,9999
93,1968,F,5717224.0,9999
94,1968,F,5717225.0,9999
95,1969,M,5717226.0,9999
96,1969,M,5717227.0,9999
97,2001,M,100078.0,9999
98,2001,M,621025.0,9999
99,2003,M,100078.0,9999
100,2003,M,621025.0,9999
101,1961,F,5717232.0,9999
102,1984,M,100084.0,9999
103,1946,F,5717234.0,2016
104,1957,M,5717235.0,9999
105,1957,M,5717236.0,9999
106,1958,F,5717237.0,9999
107,1958,F,5717238.0,9999
108,1985,M,100098.0,9999
109,1985,M,621045.0,9999
110,1965,F,5717241.0,2022
111,1970,M,5717242.0,9999
112,1992,M,100099.0,9999
113,1995,M,100099.0,9999
114,1998,F,100099.0,9999
115,2004,M,100099.0,9999
116,1970,F,5717247.0,9999
117,2000,M,100103.0,9999
118,2003,M,100103.0,9999
119,1948,M,5717250.0,9999
120,1954,F,5717251.0,9999
121,1963,F,5717252.0,9999
122,1974,M,5717253.0,9999
123,1998,M,100109.0,9999
124,2000,M,100109.0,9999
125,1945,F,5717256.0,9999
126,1945,F,5717257.0,9999
127,1971,F,5717258.0,9999
128,1991,M,100122.0,9999
129,1957,M,5717260.0,9999
130,1957,M,5717261.0,9999
131,1930,M,5717262.0,9999
132,1948,F,5717263.0,9999
133,1963,M,5717264.0,9999
134,1990,M,5717265.0,9999
135,1990,M,5717266.0,9999
136,1990,M,5717267.0,9999
137,1992,M,5717268.0,9999
138,1992,M,5717269.0,9999
139,1992,M,5717270.0,9999
140,2001,M,100141.0,9999
141,2001,M,621088.0,9999
142,2001,M,1142035.0,9999
143,2001,M,100141.0,9999
144,2001,M,621088.0,9999
