person_id;household_id;birth;gender;primary_hh;role;marital_status;children_in_hh;singles_in_hh;partners_in_hh;hh_size;htype;married_in_hh;age;death_av;leave_av;birth_av;birth_unmarried_av;new_couple_av;marriage_av;couple_split_av;divorce_av;membership_id;marriage_date
2;100004;1971;F;5717133;partner;2.0;2;0;2;4;220;2;39;1;0;1;0;0;1;0;1;2_100004;2005.0
3;100004;1971;M;5717134;partner;2.0;2;0;2;4;220;2;39;1;0;0;0;0;1;0;1;3_100004;2005.0
6;100005;1974;M;5717137;partner;2.0;2;0;2;4;220;2;36;1;0;0;0;0;1;0;1;6_100005;1999.0
7;620952;1974;M;5717138;partner;2.0;2;0;2;4;220;2;36;1;0;0;0;0;1;0;1;7_620952;2005.0
8;100005;1978;F;5717139;partner;2.0;2;0;2;4;220;2;32;1;0;1;0;0;1;0;1;8_100005;1999.0
9;620952;1978;F;5717140;partner;2.0;2;0;2;4;220;2;32;1;0;1;0;0;1;0;1;9_620952;2005.0
14;100008;1967;M;5717145;partner;2.0;1;0;2;3;220;2;43;1;0;0;0;0;1;0;1;14_100008;2008.0
15;100008;1973;F;5717146;partner;2.0;1;0;2;3;220;2;37;1;0;1;0;0;1;0;1;15_100008;2008.0
36;100026;1970;F;5717167;partner;2.0;1;0;2;3;220;2;40;1;0;1;0;0;1;0;1;36_100026;1991.0
37;620973;1970;F;5717168;partner;2.0;1;0;2;3;220;2;40;1;0;1;0;0;1;0;1;37_620973;1999.0
38;100026;1970;M;5717169;partner;2.0;1;0;2;3;220;2;40;1;0;0;0;0;1;0;1;38_100026;1991.0
39;620973;1970;M;5717170;partner;2.0;1;0;2;3;220;2;40;1;0;0;0;0;1;0;1;39_620973;1999.0
54;100046;1952;F;5717185;partner;2.0;0;0;2;2;210;2;58;1;0;1;0;0;1;0;1;54_100046;2000.0
55;100046;1955;M;5717186;partner;2.0;0;0;2;2;210;2;55;1;0;0;0;0;1;0;1;55_100046;2000.0
56;100047;1945;M;5717187;partner;2.0;0;0;2;2;210;2;65;1;0;0;0;0;1;0;1;56_100047;1988.0
57;100047;1952;F;5717188;partner;2.0;0;0;2;2;210;2;58;1;0;1;0;0;1;0;1;57_100047;1988.0
58;100049;1935;M;5717189;partner;2.0;0;0;2;2;210;2;75;1;0;0;0;0;1;0;1;58_100049;1967.0
59;100049;1936;F;5717190;partner;2.0;0;0;2;2;210;2;74;1;0;1;0;0;1;0;1;59_100049;1967.0
68;100055;1942;M;5717199;partner;2.0;0;0;2;2;210;2;68;1;0;0;0;0;1;0;1;68_100055;1996.0
69;100055;1945;F;5717200;partner;2.0;0;0;2;2;210;2;65;1;0;1;0;0;1;0;1;69_100055;1996.0
70;100056;1953;M;5717201;partner;2.0;0;0;2;2;210;2;57;1;0;0;0;0;1;0;1;70_100056;1987.0
71;621003;1953;M;5717202;partner;2.0;0;0;2;2;210;2;57;1;0;0;0;0;1;0;1;71_621003;1998.0
72;100056;1954;F;5717203;partner;2.0;0;0;2;2;210;2;56;1;0;1;0;0;1;0;1;72_100056;1987.0
73;621003;1954;F;5717204;partner;2.0;0;0;2;2;210;2;56;1;0;1;0;0;1;0;1;73_621003;1998.0
74;100058;1977;M;5717205;partner;2.0;1;0;2;3;220;2;33;1;0;0;0;0;1;0;1;74_100058;2004.0
75;621005;1977;M;5717206;partner;2.0;1;0;2;3;220;2;33;1;0;0;0;0;1;0;1;75_621005;2009.0
76;100058;1984;F;5717207;partner;2.0;1;0;2;3;220;2;26;1;0;1;0;0;1;0;1;76_100058;2004.0
77;621005;1984;F;5717208;partner;2.0;1;0;2;3;220;2;26;1;0;1;0;0;1;0;1;77_621005;2009.0
93;100078;1968;F;5717224;partner;2.0;2;0;2;4;220;2;42;1;0;1;0;0;1;0;1;93_100078;2000.0
94;621025;1968;F;5717225;partner;2.0;2;0;2;4;220;2;42;1;0;1;0;0;1;0;1;94_621025;2008.0
95;100078;1969;M;5717226;partner;2.0;2;0;2;4;220;2;41;1;0;0;0;0;1;0;1;95_100078;2000.0
96;621025;1969;M;5717227;partner;2.0;2;0;2;4;220;2;41;1;0;0;0;0;1;0;1;96_621025;2008.0
104;100098;1957;M;5717235;partner;2.0;1;0;2;3;220;2;53;1;0;0;0;0;1;0;1;104_100098;2010.0
105;621045;1957;M;5717236;partner;2.0;1;0;2;3;220;2;53;1;0;0;0;0;1;0;1;105_621045;1979.0
106;100098;1958;F;5717237;partner;2.0;1;0;2;3;220;2;52;1;0;1;0;0;1;0;1;106_100098;2010.0
107;621045;1958;F;5717238;partner;2.0;1;0;2;3;220;2;52;1;0;1;0;0;1;0;1;107_621045;1979.0
119;100108;1948;M;5717250;partner;2.0;0;0;2;2;210;2;62;1;0;0;0;0;1;0;1;119_100108;1986.0
120;100108;1954;F;5717251;partner;2.0;0;0;2;2;210;2;56;1;0;1;0;0;1;0;1;120_100108;1986.0
132;100139;1948;F;5717263;partner;2.0;0;0;2;2;210;2;62;1;0;1;0;0;1;0;1;132_100139;1972.6
133;100139;1963;M;5717264;partner;2.0;0;0;2;2;210;2;47;1;0;0;0;0;1;0;1;133_100139;1972.6
134;100141;1990;M;5717265;partner;2.0;2;0;2;4;220;2;20;1;0;0;0;0;1;0;1;134_100141;2010.0
135;621088;1990;M;5717266;partner;2.0;2;0;2;4;220;2;20;1;0;0;0;0;1;0;1;135_621088;2010.0
136;1142035;1990;M;5717267;partner;2.0;2;0;2;4;220;2;20;1;0;0;0;0;1;0;1;136_1142035;2010.0
137;100141;1992;M;5717268;partner;2.0;2;0;2;4;220;2;18;1;0;0;0;0;1;0;1;137_100141;2010.0
138;621088;1992;M;5717269;partner;2.0;2;0;2;4;220;2;18;1;0;0;0;0;1;0;1;138_621088;2010.0
139;1142035;1992;M;5717270;partner;2.0;2;0;2;4;220;2;18;1;0;0;0;0;1;0;1;139_1142035;2010.0
153;100160;1970;M;5717284;partner;2.0;0;0;2;2;210;2;40;1;0;0;0;0;1;0;1;153_100160;1998.0
154;621107;1970;M;5717285;partner;2.0;0;0;2;2;210;2;40;1;0;0;0;0;1;0;1;154_621107;1993.0
155;1142054;1970;M;5717286;partner;2.0;0;0;2;2;210;2;40;1;0;0;0;0;1;0;1;155_1142054;2008.0
