household_id,person_id,age,m_age,w_age_group,m_age_group,birth_av,births_count,census_count,birth_prob,p_hat_binom,simulated_birth
1141910,26,69,80.0,50+,70+,0,0.0,70761.59999999999,0.0,3.878511877764302e-07,False
1662857,27,69,80.0,50+,70+,0,0.0,70761.59999999999,0.0,3.878511877764302e-07,False
100019,30,61,64.0,50+,60-69,0,0.0,124286.4,0.0,4.6742342570403824e-06,False
100029,43,57,60.0,50+,60-69,0,0.0,124286.4,0.0,4.6742342570403824e-06,False
100044,51,54,65.0,50+,60-69,0,0.0,124286.4,0.0,4.6742342570403824e-06,False
620997,63,57,58.0,50+,50-59,0,0.0,211780.8,0.0,5.260310959666582e-06,False
100068,86,60,55.0,50+,50-59,0,0.0,211780.8,0.0,5.260310959666582e-06,False
100099,110,60,55.0,50+,50-59,0,0.0,211780.8,0.0,5.260310959666582e-06,False
100109,121,62,51.0,50+,50-59,0,0.0,211780.8,0.0,5.260310959666582e-06,False
100154,147,57,63.0,50+,60-69,0,0.0,124286.4,0.0,4.6742342570403824e-06,False
100159,150,53,49.0,50+,45-49,0,2.0,28728.0,6.961849067112225e-05,6.935152873053567e-06,False
100185,185,51,60.0,50+,60-69,0,0.0,124286.4,0.0,4.6742342570403824e-06,False
621150,200,61,62.0,50+,60-69,0,0.0,124286.4,0.0,4.6742342570403824e-06,False
1142097,201,61,62.0,50+,60-69,0,0.0,124286.4,0.0,4.6742342570403824e-06,False
100236,224,56,60.0,50+,60-69,0,0.0,124286.4,0.0,4.6742342570403824e-06,False
100240,231,48,57.0,45-49,50-59,0,9.0,113803.2,7.908389219283817e-05,0.00015864351923626976,False
100279,279,42,43.0,40-44,40-44,0,306.0,129528.0,0.0023624235686492494,0.0028184871784624295,False
621226,280,42,43.0,40-44,40-44,0,306.0,129528.0,0.0023624235686492494,0.0028184871784624295,False
1142173,281,42,43.0,40-44,40-44,0,306.0,129528.0,0.0023624235686492494,0.0028184871784624295,False
100282,286,50,52.0,50+,50-59,0,0.0,211780.8,0.0,5.260310959666582e-06,False
1142176,288,50,52.0,50+,50-59,0,0.0,211780.8,0.0,5.260310959666582e-06,False
1663123,289,50,52.0,50+,50-59,0,0.0,211780.8,0.0,5.260310959666582e-06,False
100296,308,66,62.0,50+,60-69,0,0.0,124286.4,0.0,4.6742342570403824e-06,False
